page,breed,pedigree_name,reg_code,owner,REG_NO,BORN,FRAME,BW,WW,YW,SCROTAL,AAA_NO,TATTOO,CE_EPD,BW_EPD,WW_EPD,YW_EPD,RADG_EPD,YH_EPD,SC_EPD,DOC_EPD,HP_EPD,CEM_EPD,MILK_EPD,MW_EPD,MH_EPD,$EN_EPD,CW_EPD,MARB_EPD,ACT_MARB_EPD,REA_EPD,ACT_REA_EPD,FAT_EPD,ACT_FAT_EPD,$W_EPD,$F_EPD,$G_EPD,$QG_EPD,$YG_EPD,$B_EPD,CE_ACC,BW_ACC,WW_ACC,YW_ACC,RADG_ACC,YH_ACC,SC_ACC,DOC_ACC,HP_ACC,CEM_ACC,MILK_ACC,MW_ACC,MH_ACC,$EN_ACC,CW_ACC,MARB_ACC,ACT_MARB_ACC,REA_ACC,ACT_REA_ACC,FAT_ACC,ACT_FAT_ACC,$W_ACC,$F_ACC,$G_ACC,$QG_ACC,$YG_ACC,$B_ACC,CE_RANK,BW_RANK,WW_RANK,YW_RANK,RADG_RANK,YH_RANK,SC_RANK,DOC_RANK,HP_RANK,CEM_RANK,MILK_RANK,MW_RANK,MH_RANK,$EN_RANK,CW_RANK,MARB_RANK,ACT_MARB_RANK,REA_RANK,ACT_REA_RANK,FAT_RANK,ACT_FAT_RANK,$W_RANK,$F_RANK,$G_RANK,$QG_RANK,$YG_RANK,$B_RANK
2,ANGUS,S A V RENOVATION 6822,0200AN10734,BROOKING ANGUS RANCH & SEMEX ALLIANCE,18579309,2016/01/28,5.9 yrl,76 lbs,905 lbs,1625 lbs,39.0 cm yrl,1963240,6822,+3,2.1,60,103,+.15,+.4,1.01,22,+9.0,+3,22,+44,+.3,-9.46,39,0.32,4.23,0.29,14.8,0.076,0.77,50.91,54.14,18.21,22.8,-4.59,103.24,0.05,0.60,0.25,0.24,0.05,0.05,0.37,0.35,0.05,0.05,0.21,0.05,0.05,-,0.25,0.21,-,0.25,-,0.20,-,-,-,-,-,-,-,75,70,25,30,80,50,35,25,75,95,65,30,50,60,45,75,-,85,-,95,-,40,45,95,75,95,70
3,ANGUS,MUSGRAVE 316 COLOSSAL 137,0200AN10737,"PEAK DOT RANCH, MUSGRAVE ANGUS & SEMEX ALLIANCE",18774441,2017/01/04,5.6 yrl,70 lbs,878 lbs,1376 lbs,40.0 cm yrl,2021884,137,16,-1.1,63,112,0.21,-0.5,0.19,22,14.9,17,26,17,-0.2,-10.04,38,0.68,-,0.59,-,0.03,-,70.18,78.58,40.82,37.37,3.45,136.53,0.38,0.54,0.47,0.43,0.23,0.39,0.48,0.34,0.19,0.29,0.30,0.29,0.35,-,0.40,0.35,-,0.35,-,0.31,-,-,-,-,-,-,-,1,10,20,15,45,95,85,25,10,1,30,70,95,65,50,30,-,35,-,80,-,5,15,30,30,65,30
4,ANGUS,POSS MAVERICK,0200AN10731,"BELVIN ANGUS, POSS ANGUS AND SEMEX ALLIANCE",18962396,2017/02/05,5.8 yrl,76 lbs,818 lbs,1591 lbs,38.5 cm yrl,2019663,764,-1,2.6,77,142,0.33,0.4,1.82,27,6.5,2,34,76,0.8,-37.67,76,1.48,6.69,0.72,15,0.005,0.32,74.02,124.48,57.85,56.44,1.41,215.54,0.37,0.53,0.47,0.42,0.27,0.48,0.48,0.34,0.23,0.31,0.32,0.32,0.36,-,0.42,0.38,-,0.38,-,0.35,-,-,-,-,-,-,-,95,80,2,1,3,50,4,10,95,95,3,4,10,95,1,1,-,20,-,45,-,3,1,1,1,85,1
5,ANGUS,BUSHS EASY DECISION 98,0200AN10716,"BUSH ANGUS, PEAK DOT RANCH LTD & SEMEX ALLIANCE",17649083,2013/02/07,6.8 yrl,93 lbs,912 lbs,1616 lbs,39.8 cm yrl,1786857,98,5,2.9,84,147,0.38,0.8,0.76,29,8.2,13,19,81,0.6,-22.95,63,0.62,4.16,0.68,14,0.008,0.5,63.97,137.52,38.02,35.35,2.67,190.72,0.59,0.91,0.88,0.82,0.23,0.54,0.70,0.46,0.20,0.42,0.41,0.31,0.35,-,0.50,0.43,-,0.45,-,0.43,-,-,-,-,-,-,-,65,85,1,1,1,10,50,4,80,10,80,2,20,95,3,30,-,20,-,45,-,15,1,35,30,70,1
6,ANGUS,SCHIEFELBEIN ATTRACTIVE 4565,0200AN10728,"SCHIEFELBEIN ANGUS FARM,PEAK DOT RANCH & SEMEX ALLIANCE",18272797,2015/03/20,6.2 yrl,85 lbs,860 lbs,1484 lbs,37.0 cm yrl,1938699,4565,3,2.2,77,135,0.22,0.6,0.91,27,12.5,10,34,60,0.6,-34.37,44,0.53,4.77,0.44,15.8,-0.002,0.47,78.67,98.92,35.98,32.12,3.86,136.47,0.49,0.79,0.65,0.53,0.28,0.43,0.55,0.45,0.26,0.35,0.36,0.36,0.40,-,0.48,0.42,-,0.42,-,0.41,-,-,-,-,-,-,-,75,70,2,2,40,30,40,10,20,35,4,10,20,95,30,40,-,55,-,30,-,2,5,40,40,55,30
7,ANGUS,NORTH CAMP SILVER STAR 5103,0200AN10730,"HAMLTON FARMS, NORTH CAMP & SEMEX ALLIANCE",18162044,2015/02/02,-- yrl,84 lbs,810 lbs,1285 lbs,36.0 cm yrl,2019661,5103,10,0.5,51,99,0.21,0.5,0.89,28,13.3,14,21,65,0.7,-6.76,37,0.63,-,0.69,-,0.023,-,41.02,59.3,40.77,35.72,5.05,127.79,0.38,0.67,0.57,0.45,0.25,0.38,0.41,0.33,0.21,0.30,0.32,0.30,0.35,-,0.41,0.34,-,0.35,-,0.31,-,-,-,-,-,-,-,25,35,55,40,45,40,40,5,15,4,70,10,10,55,45,30,-,20,-,70,-,70,40,25,30,40,40
8,ANGUS,VARILEK GEDDES 7068,0200AN10735,SEMEX ALLIANCE,18886461,2017/01/12,6.0 yrl,86 lbs,850 lbs,1413 lbs,38.0 cm yrl,2016947,7068,10,1,76,132,0.24,0.4,0.83,30,16.3,12,33,57,0.4,-31.08,61,0.95,5.24,0.73,16.8,0.037,0.39,81.4,105.94,45.68,44.81,0.87,182.96,0.35,0.54,0.47,0.43,0.26,0.38,0.40,0.34,0.23,0.29,0.32,0.31,0.36,-,0.42,0.38,-,0.38,-,0.36,-,-,-,-,-,-,-,20,40,2,3,30,50,45,3,2,15,4,15,35,95,4,10,-,20,-,85,-,1,2,15,10,90,2
9,ANGUS,ELLINGSON TOP SHELF 5050,0200AN10828,"CHAD & JULIE ELLINGSON, HOFFMAN RANCH AND SEMEX ALLIANCE",18181431,2015/02/23,6.5 yrl,80 lbs,811 lbs,1557 lbs,41.8 cm yrl,1943192,5050,14,0.1,61,116,0.37,0.4,1.2,24,3.8,15,18,50,0.2,-7.29,47,0.44,2.93,0.72,19.5,-0.007,0.41,49.5,96.75,34.69,28.37,6.32,157.85,0.57,0.84,0.79,0.66,0.22,0.41,0.65,0.58,0.27,0.29,0.32,0.28,0.33,-,0.47,0.40,-,0.41,-,0.40,-,-,-,-,-,-,-,4,25,25,15,1,50,20,15,95,2,85,20,60,60,25,55,-,15,-,25,-,45,10,45,55,25,10
10,ANGUS,BCII MLA NEXT UP 015,179AN140,MEADOW LAKE ANGUS & BCII SHOW CATTLE,18287699,2015/03/14,6.0 yrl,76 lbs,676 lbs,,38.0 cm yrl,1894247,15,9,-0.7,31,46,0.16,-0.4,-0.09,3,5.1,9,27,3,0.2,7.5,-6,0.59,0.22,-,0.023,-,-,39.53,3.99,40.79,34.27,6.52,47,0.37,0.66,0.56,0.41,0.18,0.34,0.37,0.30,0.14,0.26,0.28,0.27,0.31,-,0.38,0.32,-,0.33,-,0.29,-,-,-,-,-,-,-,30,15,95,95,75,95,95,90,95,45,30,85,60,20,95,35,-,85,-,70,-,75,95,25,35,25,95
11,ANGUS,COLBURN PRIMO 5153,100AN6587,ABIGAIL GRACE COLBURN,18217480,2015/01/03,-- yrl,80 lbs,769 lbs,1539 lbs,-- cm yrl,1952445,5153,6,3.8,55,92,0.21,0.3,-0.53,5,10.6,11,6,103,1.2,9.71,16,0.23,0.33,-,0.028,-,-,18.25,54.7,22.52,18.3,4.22,72.99,0.42,0.86,0.78,0.58,0.22,0.48,0.45,0.46,0.17,0.30,0.32,0.31,0.35,-,0.44,0.37,-,0.38,-,0.35,-,-,-,-,-,-,-,55,95,40,50,45,65,95,85,45,25,95,1,1,15,90,85,-,70,-,75,-,95,45,80,85,50,90
12,ANGUS,QUAKER HILL COLUMBUS 6V48,0200AN10337,"QUAKER HILL FARM, STRAIGHTSTONE ANGUS LLC & SEMEX",18841595,2016/09/01,6.3 yrl,68 lbs,786 lbs,1360 lbs,38.0 cm yrl,2021922,6V48,10,-0.5,77,127,0.21,0.3,1.45,25,8.4,11,26,15,0.1,-12.71,59,0.79,0.88,-,-0.021,-,-,87.87,83.26,47.75,40.6,7.15,168.12,0.37,0.52,0.45,0.41,0.30,0.43,0.44,0.39,0.27,0.34,0.35,0.36,0.41,-,0.43,0.40,-,0.39,-,0.36,-,-,-,-,-,-,-,20,15,2,4,45,65,15,15,85,25,30,75,70,75,10,20,-,10,-,15,-,1,10,15,20,20,5
13,ANGUS,LUCAS TONIC 654S,0200AN10336,"JOE M LUCAS, SEMEX ALLIANCE",18758478,2016/09/09,6.4 yrl,74 lbs,745 lbs,1342 lbs,39.0 cm yrl,2012562,654S,-5,2.9,85,160,0.35,0.7,0.49,29,10.7,10,37,36,0.5,-41.77,74,0.71,4.09,0.77,13.1,-0.023,0.23,87.56,146.83,42.78,38.33,4.45,196.47,0.39,0.55,0.48,0.43,0.28,0.48,0.43,0.37,0.24,0.32,0.33,0.34,0.38,-,0.43,0.39,-,0.39,-,0.36,-,-,-,-,-,-,-,95,85,1,1,2,20,70,4,55,35,1,40,25,95,1,25,-,15,-,15,-,1,1,25,25,50,1
14,ANGUS,HART ROLL CALL 7086,0200AN10107,SEMEX ALLIANCE,18940351,2017/02/02,6.0yrl,72lbs,770lbs,1410lbs,37.0cmyrl,2021919,7086,14,-1.3,75,146,0.3,0.5,0.49,25,13.4,13,25,60,0.7,-24.88,69,0.65,3.02,0.77,15.3,-0.018,0.3,71.53,118.97,41.06,36.34,4.72,178.62,0.37,0.56,0.49,0.44,0.26,0.41,0.49,0.36,0.21,0.29,0.31,0.30,0.36,-,0.43,0.40,-,0.39,-,0.37,-,-,-,-,-,-,-,4,10,3,1,10,40,70,15,15,10,40,15,15,95,1,35,-,15,-,15,-,4,1,30,30,50,2
14,ANGUS,HART OUTLIER 7033,0200AN10109,SEMEX ALLIANCE,18942501,2017/01/27,6.1yrl,79lbs,829lbs,1527lbs,42.7cmyrl,2021909,7033,8,0.7,80,154,0.3,0.7,2.03,28,8.1,10,21,51,0.4,-20.61,73,0.7,4.38,0.53,14.4,0.067,0.44,71.11,138.09,31.18,37.98,-6.8,182.38,0.38,0.55,0.48,0.43,0.26,0.40,0.49,0.35,0.19,0.31,0.31,0.30,0.35,-,0.43,0.39,-,0.39,-,0.36,-,-,-,-,-,-,-,35,35,1,1,10,20,2,10,85,35,75,20,35,95,1,30,-,45,-,95,-,-,-,-,-,-,-
15,ANGUS,SCHIEFELBEIN RHOMBUS 4937,0200AN10733,SCHIEFELBEIN ANGUS FARM & SEMEX ALLIANCE,18902388,2017/03/16,5.8 yrl,80 lbs,899 lbs,1560 lbs,36.4 cm yrl,2016915,4937,5,1.1,79,141,0.27,0.5,-0.14,11,11.1,3,25,74,0.7,-24.1,62,0.32,4.26,0.61,15.9,0.026,0.39,74.66,119.24,23.27,22.8,0.47,162.72,0.34,0.50,0.43,0.38,0.26,0.39,0.49,0.37,0.20,0.31,0.32,0.31,0.36,-,0.40,0.37,-,0.37,-,0.34,-,-,-,-,-,-,-,60,45,1,1,15,40,95,75,45,95,40,4,15,95,4,75,-,35,-,75,-,3,1,85,75,90,10
16,ANGUS,KOUPALS B&B ATLAS 4061,0200AN10824,"SITZ ANGUS, KOUPAL ANGUS AND SEMEX ALLIANCE",17893917,2014/01/09,6.3 yrl,80 lbs,763 lbs,1397 lbs,40.0 cm yrl,1883403,4061,8,1.1,63,121,0.28,0.4,1.65,19,9,12,21,26,0.4,-10.91,34,-0.08,3.22,0.27,15,0.034,0.46,54.44,96.42,0.16,-0.31,0.47,92.41,0.63,0.85,0.84,0.74,0.26,0.46,0.73,0.54,0.50,0.33,0.35,0.31,0.35,-,0.48,0.40,-,0.42,-,0.39,-,-,-,-,-,-,-,40,45,20,10,15,50,10,30,70,15,70,55,35,70,55,95,-,80,-,80,-,35,10,95,95,90,75
