page,breed,pedigree_name,reg_code,owner,REG_NO,BORN,FRAME,BW,WW,YW,SCROTAL,AAA_NO,TATTOO,CED_EPD,BW_EPD,WW_EPD,YW_EPD,RADG_EPD,DMI_EPD,YH_EPD,SC_EPD,DOC_EPD,CLAW_EPD,ANGLE_EPD,HP_EPD,CEM_EPD,MILK_EPD,MKH_EPD,MW_EPD,MH_EPD,$EN_EPD,CW_EPD,MARB_EPD,RE_EPD,FAT_EPD,$M_EPD,$C_EPD,$F_EPD,$G_EPD,$B_EPD,CED_ACC,BW_ACC,WW_ACC,YW_ACC,RADG_ACC,DMI_ACC,YH_ACC,SC_ACC,DOC_ACC,CLAW_ACC,ANGLE_ACC,HP_ACC,CEM_ACC,MILK_ACC,MKH_ACC,MW_ACC,MH_ACC,$EN_ACC,CW_ACC,MARB_ACC,RE_ACC,FAT_ACC,$M_ACC,$C_ACC,$F_ACC,$G_ACC,$B_ACC,CED_RANK,BW_RANK,WW_RANK,YW_RANK,RADG_RANK,DMI_RANK,YH_RANK,SC_RANK,DOC_RANK,CLAW_RANK,ANGLE_RANK,HP_RANK,CEM_RANK,MILK_RANK,MKH_RANK,MW_RANK,MH_RANK,$EN_RANK,CW_RANK,MARB_RANK,RE_RANK,FAT_RANK,$M_RANK,$C_RANK,$F_RANK,$G_RANK,$B_RANK
4,ANGUS,SCHIEFELBEIN ATTRACTIVE 4565,0200AN10728,"SCHIEFELBEIN ANGUS FARM, PEAK DOT RANCH & SEMEX ALLIANCE",18272797,2015/03/20,6.2 yrl,85 lbs,860 lbs,1484 lbs,37.0 cm yrl,1938699,4565,5,2.4,78,138,0.28,1.68,0.7,0.85,27,0.5,0.51,10,8,35,2,93,0.7,-40,49,0.59,0.43,0.005,53,220,80,49,129,0.62,0.83,0.79,0.62,0.40,0.40,0.65,0.60,0.51,0.43,0.41,0.32,0.37,0.38,0.44,0.46,-,-,0.50,0.43,0.43,0.42,-,-,-,-,-,60,75,4,4,15,95,25,45,10,50,55,60,55,4,10,15,95,-,25,35,60,40,50,55,40,50,-
5,ANGUS,S A V RENOVATION 6822,0200AN10734,BROOKING ANGUS RANCH & SEMEX ALLIANCE,18579309,2016/01/28,5.9 yrl,76 lbs,905 lbs,1625 lbs,39.0 cm yrl,1963240,6822,5,2.3,66,117,0.23,1.37,0.4,1.03,12,0.44,0.46,8.9,4,21,46,0,-9,-,42,0.32,0.42,0.084,57,192,76,28,104,0.35,0.81,0.71,0.46,0.28,0.28,0.37,0.37,0.35,0.17,0.17,0.14,0.22,0.22,0.29,0.27,-,-,0.32,0.23,0.28,0.23,-,-,-,-,-,60,75,20,20,50,90,55,35,70,20,25,75,90,75,55,75,45,-,40,70,65,95,40,65,85,80,-
6,ANGUS,POSS MAVERICK,0200AN10731,"BELVIN ANGUS, POSS ANGUS AND SEMEX ALLIANCE",18962396,2017/02/05,5.8 yrl,76 lbs,818 lbs,1591 lbs,38.5 cm yrl,2019663,764,2,1.5,74,136,0.33,1.08,0.4,1.77,27,0.54,0.33,6.5,5,37,108,0.7,-48,-,73,1.44,0.69,0.007,37,328,130,93,224,0.44,0.81,0.76,0.49,0.37,0.37,0.56,0.48,0.34,0.26,0.26,0.24,0.31,0.33,0.40,0.42,-,-,0.47,0.38,0.39,0.36,-,-,-,-,-,80,60,10,4,2,75,55,5,10,70,1,95,85,3,3,15,95,-,1,1,25,45,90,2,1,1,-
7,ANGUS,MUSGRAVE 316 COLOSSAL 137,0200AN10737,PEAK DOT RANCH & SEMEX ALLIANCE,18774441,2017/01/04,5.6 yrl,70 lbs,878 lbs,1376 lbs,40.0 cm yrl,2021884,137,14,-1,54,101,0.25,0.63,-0.3,0.18,17,0.39,0.43,13.5,17,25,56,-0.2,-16,-,37,0.64,0.51,0.018,63,238,84,51,135,0.45,0.79,0.74,0.51,0.37,0.37,0.51,0.49,0.36,0.25,0.25,0.21,0.30,0.31,0.38,0.40,-,-,0.43,0.36,0.36,0.33,-,-,-,-,-,4,15,55,45,35,45,95,85,45,10,15,20,1,50,40,90,65,-,55,30,50,60,25,50,35,40,-
8,ANGUS,BUSHS EASY DECISION 98,0200AN10716,"BUSH ANGUS, PEAK DOT RANCH LTD & SEMEX ALLIANCE",17649083,2013/02/07,6.8 yrl,93 lbs,912 lbs,1616 lbs,39.8 cm yrl,1786857,98,4,3,82,147,0.32,1.29,1,0.72,28,0.47,0.58,9.6,13,21,31,136,1.1,-52,65,0.58,0.79,0.008,34,264,124,53,177,0.64,0.92,0.90,0.85,0.40,0.40,0.74,0.76,0.61,0.40,0.40,0.45,0.62,0.62,0.43,0.42,-,-,0.52,0.47,0.47,0.47,-,-,-,-,-,70,85,2,2,3,85,10,55,10,35,90,65,10,75,1,2,95,-,4,40,15,45,90,3,30,5,-
9,ANGUS,NORTH CAMP SILVER STAR 5103,0200AN10730,"HAMILTON FARMS, NORTH CAMP & SEMEX ALLIANCE",18162044,2015/02/02,-- yrl,84 lbs,810 lbs,1285 lbs,36.0 cm yrl,2019661,5103,11,-0.2,49,95,0.28,0.5,0.4,0.81,23,0.51,0.57,14.8,13,20,90,0.9,-30,-,29,0.63,0.59,0.025,36,212,85,51,136,0.45,0.81,0.75,0.51,0.36,0.36,0.51,0.42,0.35,0.22,0.22,0.22,0.30,0.32,0.39,0.40,-,-,0.44,0.35,0.36,0.31,-,-,-,-,-,15,20,70,55,15,35,55,50,20,55,85,10,10,80,10,10,95,-,75,35,35,70,90,45,35,40,-
10,ANGUS,VARILEK GEDDES 7068,0200AN10735,SEMEX ALLIANCE,18886461,2017/01/12,6.0 yrl,86 lbs,850 lbs,1413 lbs,38.0 cm yrl,2016947,7068,10,0.6,76,131,0.26,1.28,0.3,0.94,25,0.4,0.42,16.2,12,33,76,0.4,-30,-,57,0.95,0.71,0.037,81,299,101,67,168,0.34,0.54,0.47,0.43,0.34,0.34,0.45,0.40,0.34,0.25,0.25,0.24,0.29,0.33,0.37,0.40,-,-,0.42,0.38,0.38,0.36,-,-,-,-,-,20,35,4,5,30,85,70,40,15,10,15,5,15,10,20,40,95,-,15,15,25,85,2,15,10,10,-
11,ANGUS,SCHIEFELBEIN RHOMBUS 4937,0200AN10733,SCHIEFELBEIN ANGUS FARM & SEMEX ALLIANCE,18902388,2017/03/16,5.8 yrl,80 lbs,899 lbs,1560 lbs,36.4 cm yrl,2016915,4937,6,1.4,82,145,0.29,1.7,0.7,-0.11,11,0.47,0.41,9.2,3,23,110,0.9,-41,-,59,0.34,0.64,0.02,41,207,90,38,128,0.34,0.50,0.43,0.38,0.32,0.32,0.45,0.50,0.37,0.29,0.29,0.23,0.32,0.33,0.36,0.39,-,-,0.42,0.39,0.38,0.36,-,-,-,-,-,50,55,1,1,10,95,25,95,75,35,10,75,95,65,2,5,95,-,10,75,35,65,90,35,70,55,-
12,ANGUS,QUAKER HILL COLUMBUS 6V48,0200AN10337,"QUAKER HILL FARM, STRAIGHTSTONE ANGUS LLC",18841595,2016/09/01,6.3 yrl,68 lbs,786 lbs,1360 lbs,38.0 cm yrl,2021922,6V48,9,-0.1,77,127,0.24,1.62,0.3,1.41,24,0.42,0.44,9.4,10,26,37,0.2,-8,-,60,0.85,0.9,-0.01,84,299,97,69,166,0.39,0.54,0.45,0.41,0.35,0.35,0.47,0.44,0.39,0.30,0.29,0.28,0.34,0.35,0.40,0.43,-,-,0.43,0.40,0.39,0.36,-,-,-,-,-,30,25,4,10,45,95,65,15,20,15,20,70,35,40,65,55,45,-,10,15,10,25,1,-,25,10,10
13,ANGUS,HIGH POINT CACHE 894,0200AN10762,SEMEX ALLIANCE,19191398,2018/01/29,yrl,78 lbs,856 lbs,1405 lbs,37.4 cm yrl,2087914,894,2,2.7,86,158,0.3,2.52,0.8,1.25,-3,0.59,0.48,8,8,23,57,0.4,-16,-,79,0.58,1.02,-0.015,58,285,116,59,175,0.36,0.54,0.47,0.42,0.31,0.31,0.45,0.48,0.35,0.26,0.26,0.23,0.30,0.31,0.36,0.38,-,-,0.40,0.37,0.37,0.34,-,-,-,-,-,85,80,1,1,10,95,15,20,95,85,40,85,55,65,45,40,65,-,1,45,4,20,50,3,20,5,-
