page,breed,pedigree_name,reg_code,owner,REG_NO,BORN,FRAME,BW,WW,YW,SCROTAL,CED_EPD,BW_EPD,WW_EPD,YW_EPD,RADG_EPD,DMI_EPD,YH_EPD,SC_EPD,DOC_EPD,CLAW_EPD,ANGLE_EPD,PAP_EPD,HP_EPD,CEM_EPD,MILK_EPD,MKH_EPD,MW_EPD,MH_EPD,$EN_EPD,CW_EPD,MARB_EPD,RE_EPD,FAT_EPD,$M_EPD,$F_EPD,$G_EPD,$B_EPD,$C_EPD,CED_ACC,BW_ACC,WW_ACC,YW_ACC,RADG_ACC,DMI_ACC,YH_ACC,SC_ACC,DOC_ACC,CLAW_ACC,ANGLE_ACC,PAP_ACC,HP_ACC,CEM_ACC,MILK_ACC,MKH_ACC,MW_ACC,MH_ACC,$EN_ACC,CW_ACC,MARB_ACC,RE_ACC,FAT_ACC,$M_ACC,$F_ACC,$G_ACC,$B_ACC,$C_ACC,CED_RANK,BW_RANK,WW_RANK,YW_RANK,RADG_RANK,DMI_RANK,YH_RANK,SC_RANK,DOC_RANK,CLAW_RANK,ANGLE_RANK,PAP_RANK,HP_RANK,CEM_RANK,MILK_RANK,MKH_RANK,MW_RANK,MH_RANK,$EN_RANK,CW_RANK,MARB_RANK,RE_RANK,FAT_RANK,$M_RANK,$F_RANK,$G_RANK,$B_RANK,$C_RANK
6,ANGUS,SAVRENOVATION6822,0200AN10734,"BrookingAngus,SchaffAngusValley",18579309,"January28,2016",5.9,76lbs,905lbs,1625lbs,39cm,4,2.2,68,120,0.24,1.35,0.4,0.97,14,0.5,0.51,-0.12,7.2,3,19,1,48,0.1,-9,37,0.41,0.31,0.083,53,79,31,110,196,0.43,0.86,0.79,0.66,0.31,0.31,0.47,0.46,0.35,0.19,0.19,0.06,0.16,0.23,0.23,-,0.34,0.3,-,0.38,0.3,0.35,0.3,-,-,-,-,-,70,75,20,20,45,85,60,40,60,50,55,20,90,90,85,-,55,65,40,60,60,80,95,60,60,80,75,75
7,ANGUS,SCHIEFELBEINATTRACTIVE4565,0200AN10728,"SchiefelbeinAngus,PeakDotRanch",18272797,"March20,2015",6.2,85lbs,860lbs,1484lbs,37cm,6,2.4,78,142,0.29,1.81,0.8,0.85,27,0.5,0.52,1.85,8.6,8,35,4,97,0.8,-41,48,0.64,0.39,-0.01,52,82,50,133,225,0.64,0.85,0.82,0.69,0.42,0.42,0.71,0.64,0.58,0.43,0.42,0.28,0.33,0.45,0.44,-,0.45,0.46,-,0.51,0.44,0.44,0.44,-,-,-,-,-,55,75,4,3,15,95,20,45,10,50,65,80,80,55,5,-,10,10,95,30,35,70,25,60,50,35,45,45
8,ANGUS,CONLEYEXPRESSION9213,0200AN10358,"ConleyAngus,PilgrimAngus,PredestinedCattleCo.",19550995,"February24,2019",5.8,82lbs,n/a,1390lbs,37cm,-1,4.2,58,98,0.25,0.28,0.4,0.35,16,0.45,0.41,2.38,4,0,16,-,95,0.6,-30,33,0.28,0.52,-0.029,13,78,37,116,163,0.29,0.48,0.41,0.33,0.27,0.27,0.4,0.39,0.29,0.18,0.18,0.2,0.16,0.24,0.27,-,0.32,0.35,-,0.36,0.32,0.32,0.28,-,-,-,-,-,95,95,45,55,40,15,65,80,55,25,15,90,95,95,95,-,10,20,95,75,80,55,10,95,55,70,70,95
9,ANGUS,RIVERBENDUPGRADE8605,0200AN10376,"RiverbendRanch,SpruceMountainRanch",19400049,"October11,2018",6.2,74lbs,569lbs,1160lbs,37cm,5,2.7,93,174,0.35,2.55,1.3,1.27,19,0.4,0.44,2.35,8.9,11,22,-,127,1.1,-48,89,1.12,0.68,-0.009,54,133,76,210,326,0.35,0.53,0.46,0.4,0.34,0.34,0.52,0.49,0.37,0.27,0.27,0.27,0.22,0.28,0.3,-,0.37,0.4,-,0.42,0.39,0.38,0.36,-,-,-,-,-,60,80,1,1,1,95,1,20,40,10,20,90,80,25,70,-,1,2,95,1,5,30,25,65,1,4,1,1
10,ANGUS,MUSGRAVE316COLOSSAL137,0200AN10737,"PeakDotRanch,MusgraveAngus",18774441,"January4,2017",5.6,70lbs,878lbs,1376lbs,40cm,13,-2.1,61,106,0.24,0.64,-0.1,0.03,21,0.4,0.32,-0.08,13.5,14,24,-,46,-0.2,-11,41,0.74,0.52,0.033,81,85,53,138,260,0.55,0.85,0.79,0.7,0.4,0.4,0.54,0.5,0.38,0.28,0.28,0.28,0.24,0.32,0.34,-,0.41,0.42,-,0.48,0.39,0.4,0.37,-,-,-,-,-,10,4,35,40,45,40,95,90,30,10,1,20,20,5,55,-,55,85,45,50,25,50,80,3,45,30,35,15
11,ANGUS,PINEVIEWRAIDERG244,0200AN10370,,19499409,"January28,2019",6.3,80lbs,750lbs,1150lbs,37cm,11,0,88,164,0.33,2.4,1,0.95,16,0.46,0.53,1.26,11.8,11,27,-,136,1.1,-55,80,0.63,1.36,-0.076,47,119,68,188,291,0.32,0.47,0.41,0.36,0.29,0.29,0.42,0.39,0.34,0.25,0.25,0.23,0.21,0.28,0.29,-,0.32,0.35,-,0.38,0.35,0.35,0.32,-,-,-,-,-,15,25,1,1,2,95,10,40,55,30,70,60,45,25,35,-,1,2,95,1,40,1,1,85,1,10,1,3
12,ANGUS,MONTANAENTERPRISE7193,0200AN10743,,18844663,"July21,2017",6.2,70lbs,724lbs,1279lbs,36cm,2,2.7,83,143,0.3,1.45,0.6,0.51,17,0.5,0.47,3.52,7.7,7,25,-,54,0.5,-15,55,0.77,0.75,-0.043,71,88,64,152,268,0.38,0.57,0.49,0.45,0.36,0.36,0.54,0.51,0.47,0.3,0.3,0.28,0.28,0.34,0.36,-,0.41,0.44,-,0.45,0.41,0.4,0.38,-,-,-,-,-,85,80,2,2,10,90,40,70,50,50,35,95,90,70,50,-,50,30,60,20,25,25,3,20,30,15,20,10
13,ANGUS,RAMLPOTENT8427,0200AN10836,,19334052,"January6,2018",6.3,88lbs,905lbs,1579lbs,42.5cm,2,4.1,91,158,0.32,1.47,1.2,1.37,17,0.46,0.49,2.37,8.5,6,25,-,140,1.3,-56,85,0.04,1.3,-0.04,39,134,37,172,262,0.35,0.54,0.46,0.42,0.33,0.33,0.5,0.47,0.34,0.26,0.26,0.26,0.24,0.31,0.33,-,0.38,0.4,-,0.41,0.36,0.36,0.32,-,-,-,-,-,80,95,1,1,3,90,2,15,45,30,45,90,80,75,50,-,1,1,95,1,95,1,4,90,1,65,5,15
14,ANGUS,PEAKDOTTRUST86G,0200AN10775,PeakDotRanch,19805406,"January25,2019",6.1,80lbs,895lbs,1425lbs,39cm,-3,4,67,125,0.28,1.12,0.7,1.3,24,0.44,0.35,1.73,11.4,11,24,-,97,0.6,-35,58,0.46,0.68,0.04,51,106,42,148,243,0.31,0.54,0.47,0.43,0.3,0.3,0.45,0.4,0.35,0.18,0.18,0.2,0.24,0.29,0.32,-,0.35,0.37,-,0.39,0.34,0.34,0.3,-,-,-,-,-,95,95,20,15,15,70,30,20,20,25,2,75,50,25,55,-,10,20,95,15,60,30,85,75,5,55,20,30
15,ANGUS,RAMLHIGHGRADE9651,0200AN10770,,19596434,,,,,,,9.0,0.3,72,136,.31,1.62,0.8,1.57,18,0.64,0.60,1.73,9.5,7.0,31,-,92,0.5,-37,55,1.16,1.15,.008,40,97,83,180,273,.36,.54,.47,.43,.34,.34,.51,.48,.36,.27,.28,.23,.23,.30,.30,-,.36,.39,-,.43,.37,.37,.34,-,-,-,-,-,30,30,10,5,5,95,20,10,50,95,95,70,75,65,15,-,15,35,95,20,5,2,45,95,15,2,3,10
