reg_code,pedigree_name,reg_no,born,owner,CED_EPD,BW_EPD,WW_EPD,YW_EPD,RADG_EPD,DMI_EPD,YH_EPD,SC_EPD,DOC_EPD,CLAW_EPD,ANGLE_EPD,PAP_EPD,HP_EPD,CEM_EPD,MILK_EPD,MKH_EPD,MW_EPD,MH_EPD,$EN_EPD,CW_EPD,MARB_EPD,RE_EPD,FAT_EPD,$M_EPD,$F_EPD,$G_EPD,$B_EPD,$C_EPD,CED_ACC,BW_ACC,WW_ACC,YW_ACC,RADG_ACC,DMI_ACC,YH_ACC,SC_ACC,DOC_ACC,CLAW_ACC,ANGLE_ACC,PAP_ACC,HP_ACC,CEM_ACC,MILK_ACC,MKH_ACC,MW_ACC,MH_ACC,$EN_ACC,CW_ACC,MARB_ACC,RE_ACC,FAT_ACC,$M_ACC,$F_ACC,$G_ACC,$B_ACC,$C_ACC,CED_RANK,BW_RANK,WW_RANK,YW_RANK,RADG_RANK,DMI_RANK,YH_RANK,SC_RANK,DOC_RANK,CLAW_RANK,ANGLE_RANK,PAP_RANK,HP_RANK,CEM_RANK,MILK_RANK,MKH_RANK,MW_RANK,MH_RANK,$EN_RANK,CW_RANK,MARB_RANK,RE_RANK,FAT_RANK,$M_RANK,$F_RANK,$G_RANK,$B_RANK,$C_RANK
0200AN10796,ELLINGSON PROFOUND 8155,19203612,2018-02-25,Peak Dot Ranch & Ellingson Angus,4,3.6,84,129,0.21,1.08,0.3,1.09,22,0.1,0.17,1.41,12.8,4,13,43,-0.1,-3,-,51,0.28,0.5,0.03,104,82,32,115,253,0.50,0.85,0.84,0.80,0.39,0.39,0.52,0.69,0.75,0.66,0.60,0.26,0.45,0.55,0.34,0.44,0.45,-,-,0.48,0.41,0.42,0.41,-,-,-,-,-,70,95,4,20,75,65,70,35,30,1,1,60,35,85,95,70,85,20,-,35,80,60,75,1,60,80,75,35
0200AN10737,MUSGRAVE 316 COLOSSAL 137,18774441,2017-01-04,Peak Dot Ranch,12,-1.4,63,106,0.24,0.47,-0.3,0.07,19,0.35,0.38,0.71,10.3,13,20,15,32,-0.4,-2,39,0.89,0.58,0.033,81,85,62,147,272,0.81,0.92,0.88,0.83,0.42,0.42,0.66,0.68,0.50,0.41,0.43,0.31,0.27,0.65,0.53,0.53,0.47,-,-,0.52,0.45,0.46,0.45,-,-,-,-,-,15,10,40,55,50,25,95,90,40,4,10,40,65,10,85,80,95,20,-,60,20,50,80,10,50,20,35,20
0200AN10728,SCHIEFELBEIN ATTRACTIVE 4565,18272797,2015-03-20,Peak Dot Ranch and Schiefelbein Angus Farm,6,2.7,85,152,0.3,1.8,0.8,0.86,31,0.47,0.45,1.96,10.9,6,33,19,87,0.6,-35,51,0.67,0.55,-0.005,73,87,54,142,257,0.69,0.91,0.88,0.81,0.44,0.44,0.75,0.70,0.65,0.57,0.57,0.29,0.33,0.62,0.57,0.58,0.65,-,-,0.53,0.46,0.47,0.46,-,-,-,-,-,55,85,3,3,10,95,20,50,3,40,30,70,60,75,15,20,25,90,-,35,35,55,30,20,50,35,40,30
0200AN10804,LVVF TANKER 14,20132190,2021-01-07,Peak Dot Ranch,6,0.9,96,172,0.33,2.65,1.2,1.33,27,0.34,0.35,4.43,16.1,4,31,132,1.3,-55,-,92,0.75,1.1,-0.028,76,133,67,201,337,0.35,0.54,0.47,0.42,0.32,0.32,0.45,0.40,0.35,0.29,0.29,0.29,0.26,0.32,0.33,0.38,0.39,-,-,0.41,0.37,0.37,0.34,-,-,-,-,-,55,45,1,1,4,95,3,25,15,4,4,95,15,90,20,2,2,95,-,1,35,3,10,20,1,15,1,1
0200AN10112,BROOKDALE BRUTUS 390,19854629,2020-01-23,Peak Dot Ranch & Scott Metzger,6,2.1,97,159,0.23,2.13,0.4,1.28,6,0.34,0.45,0.5,16.3,8,30,99,0.2,-39,-,63,0.61,0.68,0.063,84,84,48,131,254,0.51,0.77,0.48,0.40,0.33,0.33,0.52,0.49,0.38,0.30,0.29,0.29,0.26,0.33,0.34,-,0.39,0.42,-,0.43,0.39,0.39,0.37,-,-,-,-,-,55,70,1,2,60,95,60,25,90,4,30,35,10,55,25,10,60,95,-,15,40,35,95,5,55,45,55,30
0200AN10738,GVC STOCK FUND 038H,19882325,2020-02-14,Green Valley Cattle,17,-1.7,86,156,0.32,1.82,1,0.69,26,0.5,0.5,3.03,13.9,17,36,122,0.9,-53,-,69,1.17,0.68,0.033,64,106,76,183,301,0.34,0.50,0.42,0.37,0.32,0.32,0.44,0.40,0.36,0.29,0.29,0.27,0.25,0.32,0.32,-,0.37,0.39,-,0.40,0.37,0.36,0.32,-,-,-,-,-,1,5,3,2,5,95,10,65,15,50,60,85,30,1,4,3,10,95,-,10,10,40,80,50,15,10,5,5
0200AN10843,HART SHOWCASE 1082,20173027,2021-02-08,-,14,-0.2,71,139,0.3,2.06,0.7,1.19,19,0.43,0.5,5.86,14.1,27,87,0.2,-,-,-,56,1.26,0.92,-0.013,65,99,88,186,306,0.42,0.58,0.49,0.40,0.35,0.35,0.46,0.41,0.36,0.31,0.31,0.30,0.27,0.34,0.39,0.42,-,-,-,0.43,0.38,0.38,0.35,-,-,-,-,-,4,20,20,10,10,95,30,25,40,25,55,95,25,15,40,20,60,85,-,25,3,10,20,35,25,2,4,4
0200AN10358,CONLEY EXPRESSION 9213,19550995,2019-02-24,Conley Cattle,-4,5.2,65,107,0.26,0.23,0.5,0.34,19,0.41,0.34,1.52,7.3,-3,18,110,0.7,-37,-,37,0.28,0.52,-0.025,25,87,37,125,187,0.33,0.57,0.44,0.36,0.28,0.28,0.42,0.40,0.31,0.22,0.22,0.21,0.17,0.27,0.29,-,0.33,0.35,-,0.36,0.32,0.32,0.28,-,-,-,-,-,95,95,35,50,35,15,50,80,40,15,2,60,90,95,90,10,20,95,-,65,80,55,10,95,50,70,60,85
271AN4775,SQUARE B ATLANTIS 8060,19405249,2018/08/24,Beartooth Angus and Montana Ranch LLC,6,0.8,57,104,0.27,0.33,-0.2,1.26,23,0.34,0.53,1.05,17.3,3,25,32,-0.3,-5,-,26,0.64,0.88,0.008,85,69,56,125,247,0.62,0.91,0.87,0.81,0.42,0.42,0.79,0.79,0.73,0.56,0.55,0.29,0.33,0.34,0.35,0.45,0.44,-,-,0.52,0.46,0.47,0.46,-,-,-,-,-,55,40,60,55,30,20,95,25,25,4,75,50,5,90,55,80,90,25,-,85,40,15,45,4,85,30,60,40
0200AN10360,RAVEN NEVADA G100,19507360,2019/01/14,Raven Angus,11,1.2,81,136,0.23,1.7,0.9,1.22,16,0.44,0.51,2.02,16.1,12,24,56,0.5,-15,-,60,1.03,1.02,0.009,91,93,76,170,311,0.53,0.70,0.55,0.47,0.34,0.34,0.47,0.54,0.35,0.29,0.29,0.25,0.25,0.32,0.33,0.39,0.40,-,-,0.43,0.38,0.39,0.36,-,-,-,-,-,15,50,10,15,60,95,15,25,55,25,60,75,10,15,60,55,35,50,-,15,10,5,50,2,35,10,15,4
0200AN10109,HART OUTLIER 7033,18942501,2017/01/27,Hart Angus,9,0.6,76,146,0.32,1.74,0.7,1.92,33,0.49,0.43,1.95,9.3,10,23,94,0.6,-32,-,59,0.57,0.4,0.053,61,107,43,150,256,0.45,0.68,0.58,0.49,0.36,0.36,0.48,0.52,0.35,0.28,0.28,0.28,0.25,0.35,0.35,0.40,0.41,-,-,0.44,0.40,0.39,0.37,-,-,-,-,-,30,35,15,5,5,95,30,3,2,45,20,70,75,35,70,15,25,90,-,20,45,75,95,45,15,55,30,30
0200AN10800,CUDLOBE COMET 91J,2203858,2021/01/15,-,12,1.6,86,164,0.37,1.89,-,-,-,-,-,-,-,-,-,-,-,-,-,71,1.12,0.87,-0.011,-,-,-,-,-,0.37,0.54,0.46,0.42,0.33,0.33,-,-,-,-,-,-,-,-,-,-,-,-,-,0.39,0.35,0.35,0.30,-,-,-,-,-,4,40,1,1,1,98,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,10,-,-,-,-,-
0200AN10760,MOGCK SPECIALIST 98,19316692,2017/12/23,Mogck & Sons,11,-2.7,72,127,0.24,1.69,0.5,1.2,33,0.39,0.45,0.79,13,10,39,34,0,-13,-,44,0.76,0.39,0.07,97,73,50,123,257,0.49,0.70,0.54,0.44,0.32,0.32,0.45,0.48,0.33,0.27,0.27,0.22,0.24,0.30,0.32,0.37,0.40,-,-,0.40,0.36,0.36,0.34,-,-,-,-,-,15,2,20,20,55,90,55,30,2,15,35,40,40,30,2,85,85,40,-,60,35,85,95,1,75,45,70,35
0200AN10785,S A V AMERICAN LEGEND 0029,19852823,2020-02-18,Schaff Angus Valley,5,0,77,122,0.24,1.11,0.5,1.55,23,0.47,0.48,0.1,13.1,5,21,81,0.4,-27,-,57,0.42,0.73,0.033,65,87,42,129,232,0.05,0.38,0.34,0.33,0.05,0.05,0.05,0.39,0.37,0.05,0.05,0.05,0.05,0.05,0.17,0.05,0.05,-,-,0.25,0.22,0.26,0.22,-,-,-,-,-,65,25,15,30,55,55,55,15,30,40,50,25,40,85,85,30,50,80,-,30,70,35,80,45,45,65,65,60
316AN0181,S A V JESSE JAMES 0968,19860276,2019/12/22,"Schaffs Angus Valley, Cole Elrod, Casey Green",9,1.9,55,95,0.21,0.8,0.2,1.46,13,0.32,0.35,1.28,8.4,8,21,57,0,-14,-,34,0.35,0.11,0.07,55,70,27,97,181,0.33,0.69,0.56,0.28,0.21,0.21,0.33,0.40,0.37,0.12,0.12,0.08,0.10,0.24,0.23,0.21,0.20,-,-,0.31,0.23,0.28,0.23,-,-,-,-,-,30,65,65,70,75,45,80,15,70,2,3,55,85,55,80,55,75,45,-,70,70,95,95,65,80,90,90,90
0200AN10775,PEAK DOT TRUST 86G,19805406,2019/01/25,Peak Dot Ranch,3,1.5,59,111,0.27,0.85,0.6,1.29,24,0.44,0.37,1.62,10.3,12,26,71,0.3,-23,-,54,0.47,0.62,0.043,58,102,42,144,245,0.39,0.75,0.55,0.46,0.32,0.32,0.46,0.40,0.35,0.29,0.29,0.21,0.25,0.31,0.34,0.37,0.39,-,-,0.41,0.35,0.35,0.31,-,-,-,-,-,80,60,55,45,30,35,45,25,25,25,10,60,70,15,50,45,60,70,-,35,65,50,90,65,15,65,40,45
0200AN10784,GVC MAGNIFY 002H,19882405,"January 20, 2020",Green Valley Cattle,1,4.5,103,176,0.29,2.71,0.9,0.7,28,0.62,0.56,2.11,10,8,20,149,1.3,-,-56,85,1.35,1.1,0.021,46,119,92,210,318,0.37,0.53,0.46,0.41,0.32,0.32,0.44,0.47,0.33,0.28,0.28,0.26,0.22,0.31,0.32,0.37,0.39,-,-,0.41,0.36,0.36,0.32,-,-,-,-,-,90,95,1,1,20,95,15,65,10,95,85,70,75,55,90,1,2,-,95,1,2,-,-,1,1,2,-,-
0200AN10836,RAML POTENT 8427,19334052,"January 6, 2018",RAML Cattle,0,4.4,89,158,0.33,1.58,1.2,1.3,15,0.45,0.52,2.47,10.6,5,28,135,1.2,-,-54,86,-0.02,1.28,-0.038,42,136,34,170,262,0.36,0.58,0.46,0.42,0.33,0.33,0.51,0.49,0.34,0.27,0.27,0.26,0.25,0.31,0.33,0.38,0.40,-,-,0.42,0.36,0.36,0.32,-,-,-,-,-,90,95,2,2,3,90,3,20,60,30,70,85,60,80,35,1,2,-,95,1,95,1,4,90,1,75,15,25
0200AN10762,HIGH POINT CACHE 894,19191398,"January 29, 2018",-,1,3.1,84,157,0.32,2.13,0.8,1.26,-2,0.54,0.44,0.97,11.7,9,24,65,0.4,-,-19,77,0.7,0.93,0.001,68,120,60,181,303,0.37,0.57,0.50,0.44,0.34,0.34,0.46,0.48,0.35,0.29,0.29,0.25,0.26,0.33,0.35,0.39,0.41,-,-,0.42,0.39,0.38,0.36,-,-,-,-,-,90,90,4,2,5,95,20,25,95,70,25,45,50,45,60,45,40,-,60,2,30,10,35,30,4,25,10,5
