nome_touro,registro,ano_nasc,var_mocha,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
TRADIÇÃO 2075,C372370,2013,,P,PC,3638,,1,31,"0,25","0,44",61,"14,42","0,47",1,,,,,"0,54",1,"0,5",1,"0,51",1,"0,39",1,"-0,11",11,"54,93",1,1,30,"8,82","0,28",1,"23,24",1,"0,58",1,"0,46",1,"0,53",1,"0,46",1,"-0,1",15,"1,04","0,36",3,"57,18",1
SANTA JOANA 2387,C410343,2016,,P,PC,15398,,1,23,"1,61","0,28",99,"13,41","0,44",1,,,,,"0,45",1,"0,49",1,"0,46",1,,,"-0,38",1,"48,82",1,,0,"9,44","0,2",1,"22,85",1,"0,5",1,"0,56",1,"0,54",1,,,"-0,43",1,"0,5","0,32",20,"51,34",1
BUSHS EASY DECISION 98 EASY DECISION,IA-1768,2013,,P,IMP,16783,X,4,93,"0,22","0,53",59,"16,43","0,58",1,"0,11",0,46,15,"0,29",3,"0,19",16,"0,13",27,"0,49",1,"-0,24",1,"50,33",1,2,30,"10,27","0,21",1,"26,7",1,"0,31",3,"0,18",15,"0,22",13,"0,45",1,"-0,27",1,"1,24","0,39",1,"51,34",1
SAV REGARD 4863,IA-1692,2014,,P,IMP,,,6,107,"1,03","0,48",94,"13,86","0,62",1,"1,47","0,08",11,10,"0,34",2,"0,35",2,"0,35",2,"0,22",7,"-0,33",1,"45,94",1,4,60,"10,66","0,31",1,"24,52",1,"0,36",2,"0,33",3,"0,41",2,"0,17",15,"-0,32",1,"1,05","0,5",3,"50,31",1
WHS LIMELIGHT 64V,IA-1127,2007,,P,IMP,,,3,32,"0,14","0,46",52,"11,02","0,46",2,"0,23","0,09",36,2,"0,37",1,"0,18",17,"0,13",27,"0,41",1,"0,02",62,"39,93",1,3,25,"8,06","0,28",1,"19,07",1,"0,36",2,"0,19",15,"0,11",37,"0,44",1,0,55,"1,41","0,42",1,"44,47",1
CIA.AZUL 3264 CANDELERO CIA 1022 ROGER,O192024,2015,,P,PO,8538,"P,T",1,30,"1,25","0,51",97,"9,99","0,48",2,,,,,"0,54",1,"0,34",3,"0,38",1,"0,51",1,"-0,06",21,"43,9",1,1,9,"5,31","0,24",9,"15,3",3,"0,54",1,"0,26",6,"0,41",1,"0,53",1,"-0,04",30,"0,65","0,35",13,"44,25",1
SOLDERA TE6005 CANDELERO RESOURCE,O202214,2016,,P,PO,15061,,1,25,"0,6","0,33",80,"12,09","0,44",1,,,,,"0,25",5,"0,25",7,"0,25",5,"0,18",12,"-0,12",9,"38,28",1,1,4,"10,89","0,24",1,"22,98",1,"0,25",7,"0,26",6,"0,31",4,"0,15",17,"-0,13",9,"0,66","0,33",12,"43,01",1
SANTA JOANA 2269,C398979,2015,,P,PC,15398,,1,24,"1,26","0,45",97,"10,36","0,45",2,,,,,"0,41",1,"0,46",1,"0,43",1,,,"-0,08",17,"39,74",1,1,22,"7,87","0,26",2,"18,23",1,"0,49",1,"0,49",1,"0,51",1,,,"-0,1",14,"-0,13","0,42",76,"41,92",1
COLEMAN CHARLO 0256,IA-1853,2010,,P,IMP,,,6,28,"-0,2","0,41",25,"11,69","0,4",1,,,,,"0,44",1,"0,68",1,"0,51",1,"0,16",15,"-0,15",5,"44,34",1,4,16,"5,03","0,16",10,"16,72",2,"0,43",1,"0,53",1,"0,54",1,"0,08",35,"-0,15",7,"0,73","0,3",9,"41,76",1
TRADIÇÃO FIV T06 ZORZAL TE,O146110,2010,,P,PO,3638,,1,21,,,,"15,19","0,46",1,"-2,99","0,15",97,3,"0,23",8,"0,16",22,"0,2",12,,,"0,09",,"44,96",1,1,21,"6,12","0,3",5,"21,31",1,"0,21",12,"0,15",22,"0,19",19,,,,,"1,26","0,42",1,"40,4",1
R B TOUR OF DUTY 177 DUTY,IA-1640,2011,,P,IMP,,A,12,121,"-0,31","0,62",19,"9,29","0,63",3,"-1,32","0,03",80,6,"0,29",3,"0,13",29,"0,21",10,"0,47",1,"-0,08",15,"32,65",2,11,89,"10,07","0,31",1,"19,36",1,"0,27",6,"0,1",33,"0,18",21,"0,5",1,"-0,1",15,"0,79","0,57",7,"39,75",1
KOUPAL KOZI 418 KOZI,IA-1776,2014,,P,IMP,,,2,70,"0,55","0,4",78,"9,75","0,47",3,,,,,"0,45",1,"0,44",1,"0,51",1,"0,44",1,"-0,25",1,"39,92",1,1,4,"4,62","0,13",12,"14,37",4,"0,48",1,"0,39",2,"0,56",1,"0,44",1,"-0,25",1,"0,6","0,09",15,"39,67",1
SAV RESOURCE 1441 RESOURCE,IA-1369,2011,,P,IMP,,G,76,1188,"0,81","0,84",89,"7,84","0,86",6,"1,46","0,3",12,98,"0,26",5,"0,35",2,"0,3",3,"0,08",36,"-0,11",9,"27,99",5,59,671,"11,27","0,62",1,"19,11",1,"0,31",3,"0,38",2,"0,41",2,"0,05",46,"-0,11",12,"0,6","0,82",14,"39,33",1
RODEIO DO RINCÃO TE221 EXCEL BRAND 110,O164289,2012,,P,PO,14672,,2,45,"0,67","0,26",84,"11,53","0,55",1,-1,"0,12",75,6,"0,28",4,"0,46",1,"0,24",6,"0,11",28,"-0,11",10,"37,92",1,2,30,"6,57","0,31",4,"18,1",1,"0,33",3,"0,44",1,"0,3",5,"0,1",29,"-0,11",11,"0,83","0,42",6,"38,58",1
CIA.AZUL 3092 A. VALLEY ZORZAL,O188318,2015,,P,PO,8538,,1,25,"-0,37","0,47",17,"8,69","0,44",4,,,,,"0,19",13,"0,23",9,"0,04",56,"0,23",6,"-0,14",6,"27,44",5,1,11,"8,69","0,23",1,"17,38",2,"0,29",5,"0,27",5,"0,09",45,"0,32",2,"-0,18",4,"1,12","0,35",2,"36,15",2
SOLÉ 1314 IRON MOUNTAIN,O201647,2016,,P,PO,11430,,1,43,,,,"10,39","0,39",2,,,,,"0,26",5,"0,19",15,"0,22",9,"0,44",1,"-0,08",16,"34,46",2,,0,"7,56","0,2",2,"17,96",2,"0,23",10,"0,11",31,"0,18",21,"0,45",1,,,"0,54","0,32",17,"35,39",2
TRADIÇÃO T61,O190729,2015,,P,PO,3638,,1,30,"0,11","0,43",50,"11,16","0,47",1,,,,,"0,3",3,"0,29",5,"0,3",3,,,"0,03",69,"37,84",2,1,27,"4,46","0,28",13,"15,63",3,"0,29",5,"0,3",4,"0,33",4,,,"0,02",65,"0,94","0,42",4,"35,04",2
SANTA JOANA 1866,C362713,2012,,P,PC,15398,,2,100,"1,13","0,63",95,"5,78","0,64",15,"5,01","0,11",1,16,"0,4",1,"0,4",1,"0,39",1,,,"-0,24",1,"28,31",5,2,69,"7,36","0,37",2,"13,15",6,"0,51",1,"0,52",1,"0,5",1,,,"-0,27",1,"-0,41","0,55",91,"34,82",2
SAV WEST RIVER 2066,IA-1500,2012,,P,IMP,,,20,341,"-0,24","0,79",23,"8,16","0,78",5,"-0,64","0,17",69,19,"0,35",1,"0,26",6,"0,28",4,"0,24",6,"-0,06",21,"32,29",3,13,185,"5,26","0,44",9,"13,42",5,"0,37",2,"0,25",7,"0,3",5,"0,23",8,"-0,08",19,"0,66","0,67",13,"34,26",2
SAV RENOWN 3439 RENOWN,IA-1716,2013,,P,IMP,,G,21,268,"0,32","0,69",65,"6,95","0,72",9,"1,36","0,11",13,2,"0,32",2,"0,25",7,"0,24",7,"0,22",7,"-0,19",3,"28,16",5,16,161,"7,71","0,4",2,"14,66",4,"0,37",1,"0,27",5,"0,32",4,"0,22",8,"-0,2",3,"0,18","0,64",45,"34,17",2
BARRAGEM TE16 WESTWIND LÍDER TE198,O132409,2008,,P,PO,2251,,8,140,"-0,52","0,53",12,"10,7","0,61",2,"-0,52","0,23",66,27,"0,32",2,"0,54",1,"0,36",1,"-0,1",91,"-0,08",17,"37,28",2,7,62,"5,35","0,32",9,"16,05",2,"0,31",4,"0,58",1,"0,34",3,"-0,11",92,"-0,01",44,"0,16","0,47",47,"34,11",2
SAV SEEDSTOCK 4838,IA-1313,2014,,P,IMP,,,2,26,"0,8","0,44",89,"7,48","0,43",7,,,,,"0,34",2,"0,33",3,"0,28",4,"0,22",7,"-0,11",11,"30,23",3,2,18,"6,02","0,25",6,"13,5",5,"0,39",1,"0,35",2,"0,34",3,"0,27",5,"-0,13",9,"0,43","0,33",24,"34,04",2
SANTA JOANA 49,O185560,2014,,P,PO,15398,,2,36,"0,81","0,49",89,"11,46","0,49",1,,,,,"0,22",9,"0,35",2,"0,17",17,"0,09",32,"-0,21",2,"35,4",2,2,26,"5,7","0,31",7,"17,16",2,"0,25",8,"0,3",4,"0,18",21,"0,09",31,"-0,2",3,"0,77","0,44",8,"34,04",3
LORENZEN FIELD DAY 7455,IA-1076,2007,,V,IMP,,,5,121,"0,18","0,42",56,"9,81","0,65",2,"-0,19","0,25",60,52,"0,26",5,"0,18",16,"0,17",17,"0,23",6,"-0,1",11,"33,01",2,5,81,"5,49","0,41",8,"15,29",3,"0,3",4,"0,23",9,"0,23",12,"0,25",6,"-0,12",10,"0,81","0,51",7,"33,81",3
SANTO ANTÃO NET WORTH 843,O178023,2014,,P,PO,14982,,1,27,"0,96","0,47",93,"8,34","0,48",5,,,,,"0,32",2,"0,29",5,"0,28",4,,,"0,01",57,"31,46",3,1,15,"7,15","0,26",3,"15,49",3,"0,3",4,"0,25",7,"0,3",5,,,"0,01",58,"0,13","0,42",50,"33,57",3
S2 GAR INTEGRITY 13036 WORTH 4200 S2 INTEGRITY,O168534,2013,,P,PO,6667,L,3,32,"0,2","0,49",58,"7,31","0,51",8,"0,9","0,18",20,3,"0,27",4,"0,25",7,"0,17",18,"0,24",5,"-0,1",12,"26,99",5,3,17,"7,27","0,3",2,"14,58",4,"0,35",2,"0,23",9,"0,24",10,"0,26",5,"-0,09",17,"0,15","0,38",49,"32,21",3
GAP B221,C318965,2009,,V,PC,2555,,1,41,"-0,04","0,58",38,"6,11","0,56",14,"1,6","0,19",10,14,"0,25",6,"0,17",19,"0,15",23,,,"-0,01",45,"23,34",9,1,21,"6,82","0,32",3,"12,93",6,"0,3",4,"0,25",7,"0,16",25,,,0,56,"1,11","0,47",2,"31,66",3
CAMARO DENSITY DA RIO DA PAZ CAMARO,O171120,2013,,P,PO,15956,"P, T",3,23,"0,56","0,41",79,"8,73","0,47",4,"0,1","0,15",52,2,"0,28",4,"0,36",2,"0,15",21,"0,29",3,"-0,11",10,"31,04",3,3,20,"5,68","0,29",7,"14,42",4,"0,36",2,"0,41",1,"0,22",13,"0,37",1,"-0,12",11,"-0,02","0,43",65,"31,65",3
PA FULL POWER 1208,IA-1478,2011,,P,IMP,,,4,62,"0,24","0,51",61,"10,9","0,51",2,,,,,"0,13",27,"0,17",20,"0,12",32,"0,15",18,"-0,22",2,"30,6",3,3,9,"7,12","0,19",3,"18,02",2,"0,13",29,"0,15",21,"0,13",34,"0,18",13,"-0,24",2,"0,94","0,3",4,"31,64",3
BC CLASSIC 385-7 CLASSIC,IA-1213,2007,,P,IMP,,M,7,25,"0,42","0,42",70,"9,47","0,4",3,"0,38","0,04",32,9,"0,23",8,"0,33",3,"0,15",22,"0,11",26,"-0,08",15,"30,88",3,5,17,"6,08","0,17",5,"15,56",3,"0,25",7,"0,33",3,"0,12",35,"0,1",28,"-0,12",10,"0,5","0,24",20,"31,53",3
SANTA JOANA 5545,C260518,2006,,P,PC,15398,,6,52,"0,81","0,59",89,"7,16","0,6",8,"0,32","0,24",34,56,"0,21",10,"0,1",35,"0,21",9,"0,24",6,"-0,02",36,"24,51",7,5,35,"5,76","0,37",7,"12,92",6,"0,33",3,"0,2",13,"0,32",4,"0,26",5,"-0,08",19,"1,03","0,5",3,"30,96",3
SAV BRUISER 9164 BRUISER,IA-1195,2009,,P,IMP,,A,10,75,"-0,08","0,55",34,"7,88","0,59",6,"-0,27","0,15",62,14,"0,27",4,"0,2",14,"0,19",12,"0,21",9,"-0,09",14,"28,56",4,7,54,"5,4","0,34",8,"13,28",5,"0,35",2,"0,24",8,"0,28",7,"0,21",10,"-0,11",14,"0,31","0,51",33,"30,78",4
SITZ UPWARD 307R,IA-1046,2005,,P,IMP,,,16,136,"0,15","0,64",54,"8,11","0,68",5,"2,76","0,11",3,24,"0,25",5,"0,14",25,"0,15",23,"0,24",5,"0,05",77,"28,49",5,13,84,"4,4","0,33",14,"12,51",7,"0,33",3,"0,14",24,"0,19",18,"0,31",3,"0,05",77,"0,88","0,55",5,"30,66",4
CIA.AZUL TE3594 WEST RIVER ZORZAL,O202019,2016,,P,PO,8538,,1,20,"0,26","0,43",62,"8,77","0,43",4,,,,,"0,33",2,"0,29",5,"0,16",20,"0,34",2,"0,09",91,"32,92",2,1,16,"2,55","0,25",31,"11,32",9,"0,3",4,"0,15",20,"0,13",32,"0,28",4,"0,09",89,"0,83","0,29",6,"29,81",4
SANTA SERGIA LUQUENSE MISTER 3256,O196600,2013,,V,IMP,,,1,108,"0,07","0,62",47,"6,96","0,6",9,,,,,"0,37",1,"0,45",1,"0,4",1,"0,08",35,"-0,01",44,"30,05",4,1,35,"2,28","0,26",34,"9,24",16,"0,37",1,"0,4",2,"0,39",2,"0,04",48,0,49,"0,83","0,45",6,"29,49",4
S2 PREDESTINED 1430 GREAT DIVIDE,O177948,2014,,P,PO,6667,,1,33,"1,14","0,3",95,"9,83","0,51",2,,,,,"0,24",7,"0,16",22,"0,25",6,"0,27",4,"-0,1",12,"32,18",3,1,20,"4,23","0,29",15,"14,07",4,"0,26",7,"0,13",25,"0,28",7,"0,29",4,"-0,1",16,"0,43","0,39",23,"29,44",4
QUAKER HILL RAMPAGE 0A36 RAMPAGE,IA-1518,2010,,P,IMP,,A,3,31,"0,27","0,47",62,"8,86","0,46",4,"-0,45","0,02",65,1,"0,04",61,"0,1",36,0,71,"0,17",13,"-0,09",13,"22,14",10,3,16,"9,21","0,2",1,"18,08",1,"0,06",51,"0,1",32,0,71,"0,22",8,"-0,1",14,"1,12","0,33",2,"29,29",4
ALBARDÃO 471 YESQUERO BRIGADIER HOBO,C385011,2014,,V,PC,436,,1,40,"-0,02","0,3",39,"7,47","0,47",7,,,,,"0,3",3,"0,28",5,"0,25",5,"0,26",4,"0,1",93,"28,71",4,1,22,"3,68","0,28",19,"11,15",10,"0,33",3,"0,26",6,"0,28",6,"0,28",4,"0,09",89,"0,66","0,41",13,"29,12",4
KCF BENNETT ABSOLUTE ABSOLUTE,IA-1698,2009,,P,IMP,,A,5,29,"-0,12","0,47",31,"9,47","0,45",3,,,,,"0,21",10,"0,04",56,"0,06",51,"0,12",24,"-0,06",23,"30,21",3,5,25,"6,06","0,27",6,"15,53",3,"0,17",21,"-0,06",86,0,70,"0,03",52,"-0,08",20,"0,4","0,39",27,"29,03",5
