nome_touro,registro,ano_nasc,var_mocha,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
LORENZEN FIELD DAY 7455,IA1076,2007,,V,IA,23805,,4,109,"0,80","0,31",84,"12,08","0,62",4,"-0,24","0,24",69,34,"0,22",20,"0,17",33,"0,14",44,"0,30",6,"-0,05",35,,6,4,70,"9,37","0,46",7,"21,45",4,"0,30",11,"0,23",19,"0,22",27,"0,33",6,"-0,02",48,"0,90","0,49",14,"32,80",6
TRADIÇÃO FIV T06 ZORZAL TE,146110,2010,,P,PO,3638,,1,23,"1,06","0,40",92,"13,46","0,51",2,"-2,68","0,27",96,5,"0,29",9,"0,26",15,"0,24",15,,,"0,07",84,,3,1,23,"6,77","0,45",18,"20,23",5,"0,25",20,"0,18",29,"0,22",28,,,"0,08",85,"1,41","0,48",2,"32,80",6
GAP 6449,219912,2018,,P,PO,2555,,1,58,"-0,58","0,60",11,"8,55","0,58",13,,,,,"0,28",9,"0,52",1,"0,48",1,,,"-0,19",4,,10,1,11,"10,43","0,31",4,"18,99",7,"0,28",14,"0,53",1,"0,52",1,,,"-0,20",5,"1,46","0,40",2,"32,77",6
G A R RELIANT,IA2073,2016,,P,IA,22294,,2,32,"-0,54","0,43",12,"9,07","0,41",11,,,,,"0,22",20,"0,07",65,"-0,01",87,"0,28",9,"-0,18",5,,12,1,5,"12,10","0,23",2,"21,17",4,"0,30",11,"0,10",52,"-0,01",87,"0,31",8,"-0,21",4,"0,79","0,24",19,"32,73",6
QUAKER HILL RAMPAGE 0A36 RAMPAGE,IA1518,2010,,P,IA,15614,A,9,51,"0,29","0,57",56,"10,27","0,57",7,"0,70","0,11",44,30,"0,16",38,"0,18",32,"0,08",66,"0,29",7,"-0,18",6,,11,6,30,"12,57","0,41",2,"22,85",3,"0,18",37,"0,14",38,"0,08",69,"0,30",8,"-0,17",9,"1,27","0,48",4,"32,68",6
GAP 6363,224571,2018,,P,PO,2555,T,2,135,"0,21","0,70",51,"7,09","0,68",21,,,,,"0,31",7,"0,13",45,"0,13",46,"0,13",34,"0,07",85,,14,1,6,"10,62","0,32",4,"17,71",9,"0,35",6,"0,25",16,"0,19",33,,,"0,04",73,"1,20","0,41",5,"32,43",6
RODEIO DO RINCÃO TE221 EXCEL BRAND 110,164289,2012,,P,PO,14672,,1,45,"0,93","0,36",88,"10,65","0,57",6,"-0,51","0,25",73,19,"0,28",10,"0,43",2,"0,19",26,"0,12",36,"-0,12",15,,6,1,30,"8,87","0,45",9,"19,52",6,"0,32",9,"0,41",3,"0,25",21,"0,12",37,"-0,14",14,"1,02","0,46",10,"32,40",6
GAR ASHLAND,IA1912,2015,,P,IA,23201,,10,89,"-0,35","0,55",19,"9,56","0,59",9,"2,40","0,08",13,3,"0,34",5,"0,26",16,"0,23",18,"0,32",5,"-0,10",21,,7,5,42,"7,22","0,37",15,"16,77",11,"0,37",5,"0,30",10,"0,26",18,"0,33",6,"-0,12",16,"1,42","0,44",2,"32,37",6
LD EMBLAZON 999 EMBLAZON 999,IA1705,2009,,P,IA,15614,,7,101,"-0,36","0,65",19,"9,50","0,65",9,"2,15","0,13",15,7,"0,40",2,"0,47",1,"0,30",7,"-0,02",81,"-0,11",18,,6,7,57,"9,42","0,46",7,"18,92",7,"0,41",3,"0,41",3,"0,33",8,"0,05",55,"-0,14",13,"-0,48","0,50",95,"31,64",7
MAC ACHIN GUINNES 6192 GUINNES,225366,2016,,P,PO,23163,L,1,27,"0,51","0,17",70,"10,67","0,31",6,,,,,"0,28",10,"0,31",9,"0,28",9,"0,27",10,"-0,03",47,,6,1,14,"7,95","0,21",12,"18,62",7,"0,29",13,"0,25",15,"0,31",11,"0,24",14,"-0,05",39,"1,32","0,23",3,"31,63",7
