nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
TRADIÇÃO MT PROFETA 3G 2724,137437,2016,,,3/8,,P,PS,23242,,1,78,"-0,29","0,61",29,"4,68","0,59",16,"0,36","0,13",40,3,"0,09",41,"0,18",23,"0,21",13,"-0,09",80,"0,03",79,,20,1,36,"6,05","0,41",7,"10,73",10,"0,12",37,"0,22",12,"0,21",18,"-0,08",79,"0,03",87,"0,24","0,34",43,"14,05",15
MR PB REDBULL 521/09W IA10159777 2009 3/8 V E,23805,,,,,,,,,,3,58,"0,31","0,33",67,"7,68","0,58",6,"0,74","0,07",28,13,"0,11",36,"0,28",8,"0,22",12,"0,06",30,"0,04",83,,10,2,42,"2,26","0,43",26,"9,93",12,"0,07",51,"0,21",14,"0,13",33,"0,04",36,"0,03",87,"0,79","0,44",14,"13,53",16
MORRIS AONIKENK 272 GLADIADOR TE,128906,2010,,,3/8,,P,E,312,,1,22,"1,04","0,24",92,"6,34","0,23",9,,,,,"0,08",44,,,,,,,,,,14,1,19,"5,85","0,15",8,"12,20",8,"0,06",52,"-0,05",86,"0,07",53,"0,15",13,"0,00",74,"-0,11","0,19",71,"13,52",16
MC TOP GUN 111Y15 IA10200901 2011 3/8 P E,23805,,,,,,,,,,2,28,"-0,59","0,15",15,"2,94","0,33",26,,,,,"0,13",26,"0,32",4,"0,34",4,"0,14",13,"0,07",92,,24,1,19,"5,53","0,22",9,"8,47",15,"0,15",26,"0,29",5,"0,40",3,"0,14",15,"0,03",85,"0,45","0,11",29,"13,52",16
LAS LILAS 3155-Y DRAG.OROZ.G5,IA125199,2008,,,3/8,,P,E,,,13,80,"0,61","0,54",81,"1,23","0,60",41,"0,70","0,07",30,41,"0,07",46,"0,01",76,"-0,04",84,"0,05",31,"0,01",69,,42,9,67,"7,80","0,45",4,"9,03",13,"0,09",43,"0,11",39,"0,03",63,"0,07",29,"-0,01",68,"0,54","0,56",25,"12,69",18
SULTANA FRANCESCO 1192 RELEVANTE,IA143150,2015,,,3/8,,P,E,,,4,102,"0,23","0,61",61,"1,09","0,64",43,,,,,"0,41",1,"0,30",6,"0,42",2,"-0,02",57,"-0,01",52,,15,3,77,"-0,67","0,48",58,"0,42",49,"0,40",2,"0,33",4,"0,42",3,"-0,01",54,"-0,05",33,"0,05","0,56",58,"12,29",18
GAP R837/16,126230,2016,,,3/8,,P,PS,23388,,1,44,"3,40","0,48",99,"5,42","0,47",14,"0,37","0,01",40,1,"0,04",57,"-0,02",81,"0,02",68,"0,18",8,"-0,07",21,,20,1,23,"5,25","0,28",10,"10,67",11,"0,07",50,"0,03",65,"0,07",51,"0,17",11,"-0,06",28,"0,25","0,32",43,"12,24",18
CX TANQUE 23/T IA10105443 2007 3/8 V E,23805,,,,,,,A,,,3,31,"0,92","0,51",89,"4,37","0,56",18,"-0,24","0,22",75,66,"0,26",7,"0,18",21,"0,32",4,"0,18",8,"0,08",94,,12,3,18,"0,42","0,43",45,"4,79",27,"0,21",15,"0,07",53,"0,26",10,"0,17",11,"0,01",79,"0,40","0,42",33,"12,11",19
GUAPIARA BE2214 FIV PROTHEUS,137847,2017,,,3/8,,P,PS,23805,M,4,92,"0,26","0,42",64,"2,71","0,49",27,,,,,"0,19",16,"0,21",16,"0,11",36,"0,19",7,"0,03",82,,22,2,19,"4,08","0,26",14,"6,79",19,"0,22",15,"0,19",17,"0,12",34,"0,22",7,"0,01",78,"-0,16","0,31",75,"12,04",19
STA CRUZ 3475 ALI. 803G TE,IA34494,2003,,,3/8,,P,E,,,8,85,"-0,31","0,55",28,"3,55","0,63",21,"-2,49","0,24",99,103,"0,08",43,"-0,16",97,"-0,05",86,"0,08",23,"-0,06",24,,25,6,46,"3,33","0,48",18,"6,88",19,"0,13",32,"-0,15",96,"-0,03",80,"0,10",21,"-0,10",12,"1,11","0,56",6,"12,03",19
