nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
SAUDADE S.KAURIVALE 4386,64156,2014,M,,,,,PO,2021,,1,24,,,,"4,81","0,40",31,"0,17","0,10",43,12,"0,07",40,"0,02",53,"-0,04",79,"0,12",29,"-0,02",25,,31,1,17,"1,64","0,27",57,"6,45",41,"0,07",46,"0,05",44,"-0,06",82,"0,13",31,"-0,02",23,"0,29","0,21",38,"11,24",44
ROTOKAWA 425,IA31,1990,M,,,,,IA,23805,,15,132,"0,89","0,56",92,"2,58","0,67",47,"-2,82","0,30",99,102,"-0,03",77,"0,03",52,"0,01",61,"0,05",46,"-0,03",19,,58,14,94,"5,49","0,52",22,"8,07",34,"-0,01",72,"0,12",29,"0,00",68,"0,12",33,"-0,02",27,"0,30","0,46",37,"10,57",46
CAMBOATÃ 615 URANO M901 C034 URANO,67517,2016,M,,,,,PO,14970,P,4,44,"0,71","0,32",87,"2,91","0,46",45,"0,48","0,06",28,1,"0,12",25,"0,05",43,"-0,00",67,"0,12",29,"0,04",73,,38,3,28,"2,94","0,31",44,"5,85",44,"0,12",31,"0,01",62,"-0,01",73,"0,16",24,"0,06",85,"-0,47","0,32",96,"10,52",47
JR DO PRATA 43 SANT ANT 897,67476,2016,M,,,,,PO,16358,,1,59,"0,41","0,19",76,"0,89","0,35",67,,,,,"-0,00",66,"0,13",21,"0,11",17,"0,03",53,"0,05",82,,68,1,34,"5,87","0,21",17,"6,76",40,"0,01",64,"0,15",19,"0,15",17,"0,05",49,"0,05",81,"0,18","0,24",47,"9,58",50
MALEVO TE DE SÃO LUIZ,60124,2011,M,,,,,PO,2127,,8,81,"-0,13","0,48",40,"0,94","0,60",66,"0,74","0,22",21,54,"0,12",26,"0,08",36,"0,06",36,"0,01",58,"0,06",91,,54,8,55,"2,72","0,46",45,"3,66",56,"0,11",33,"0,08",37,"0,10",30,"0,07",46,"0,10",97,"-0,03","0,49",70,"8,91",51
GARUPÁ 3052-G1441-A3,26713,1988,,,,,,CR,48,,16,282,"1,06","0,59",95,"4,19","0,76",34,"0,47","0,47",28,197,"0,05",47,"-0,19",99,"-0,16",99,"0,34",2,,,,37,17,216,"1,73","0,65",56,"5,91",42,"0,00",69,"-0,23",98,"-0,19",98,"0,35",4,"0,03",64,"0,19","0,33",45,"8,57",52
JATOBÁ TE 50 DA ESTRELA DO SUL,69959,2017,,,,,,D,17774,,1,28,"-0,18","0,40",37,"2,43","0,39",49,,,,,"0,13",22,"0,09",31,"0,13",14,"-0,02",69,,,,40,1,9,"0,65","0,19",69,"3,09",60,"0,14",25,"0,12",26,"0,14",19,"-0,04",80,"0,01",49,"-0,40","0,22",93,"7,28",55
ELEITO SA 1382 SV 1623 DE SANTA ALICE 2020,69609,2018,M,,,,,PO,2110,,1,25,"-1,45","0,35",5,"5,12","0,36",28,,,,,"0,00",65,"-0,07",85,"0,04",48,"-0,05",82,,,,32,1,13,"0,89","0,22",64,"6,01",42,"-0,02",78,"-0,08",88,"0,05",48,"-0,12",97,"0,04",68,"0,03","0,21",61,"6,28",57
SAUDADE TOPÁZIO 1470,33783,1993,M,,,,,PO,2021,,6,108,"0,39","0,53",74,"3,65","0,64",39,"1,21","0,30",14,72,"0,05",46,"-0,05",78,"-0,04",82,"0,08",38,"0,00",46,,40,6,61,"-0,69","0,48",82,"2,97",61,"0,05",51,"-0,09",90,"-0,06",82,"0,03",56,"0,03",58,"0,53","0,46",15,"6,17",58
KAURIVALE 11/95,IA34,1995,M,,,,,IA,23805,,9,106,"-0,01","0,46",48,"1,94","0,64",54,"-2,58","0,26",98,72,"-0,01",72,"0,10",30,"0,03",49,"-0,06",85,"-0,08",4,,61,9,61,"1,44","0,46",59,"3,37",59,"0,09",38,"0,12",28,"0,12",25,"0,04",53,"-0,06",11,"0,33","0,27",32,"5,94",58
CORTICEIRAS 624,34355,1994,,,,,,CR,125,,4,126,"-0,10","0,62",43,"3,12","0,63",43,"-0,60","0,26",71,57,"0,03",56,"-0,12",95,"-0,09",92,"0,12",28,,,,47,4,86,"-0,61","0,46",81,"2,51",63,"0,01",68,"-0,10",93,"-0,10",91,"0,07",47,,,"0,35","0,29",30,"3,59",63
GARUPÁ 5504 GRANADA PEDRA,40749,1999,,,,,,CR,57,,3,85,"0,39","0,31",73,"1,23","0,59",63,"3,33","0,23",1,39,"0,03",54,"-0,06",82,"0,01",61,"0,03",51,,,,61,2,26,"1,49","0,36",57,"2,72",62,"0,05",50,"-0,02",72,"0,02",59,"0,06",47,,,"-0,26","0,23",85,"3,28",64
SAUDADE S EFFINGHAM 4024,61882,2013,M,,,,,PO,2021,,2,41,"0,96","0,39",95,"0,82","0,49",68,"1,65","0,11",7,12,"0,00",66,"0,01",60,"0,08",27,"0,08",39,"-0,00",40,,67,2,21,"1,37","0,31",60,"2,19",65,"0,03",58,"0,03",54,"0,05",46,"0,09",39,"-0,01",30,"0,16","0,30",48,"2,89",65
SAUDADE S. HAITITI 03901,58712,2011,M,,,,,PO,2021,,2,128,,,,"0,75","0,60",68,"0,36","0,21",35,52,"-0,09",91,"-0,11",95,"-0,09",91,"-0,18",99,"-0,12",2,,80,2,115,"4,25","0,48",30,"5,00",49,"0,03",61,"-0,03",74,"-0,06",86,"0,01",62,"-0,14",2,"-0,65","0,49",99,"2,22",67
SAUDADE S KAURIVALE 4066,61835,2013,M,,,,,PO,2021,,1,20,,,,"1,38","0,40",61,"0,74","0,13",20,16,"-0,02",74,"0,02",56,"-0,03",78,"0,02",55,"-0,00",40,,66,1,15,"1,05","0,28",62,"2,42",64,"0,01",65,"0,02",55,"-0,01",70,"0,06",49,"0,01",45,"0,09","0,22",53,"1,91",67
