nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
NARCISO DA ÁGUA MARINHA NARCISO,190105,2011,,,,,,PS,15231,,1,61,"-0,04","0,57",23,"0,21","0,55",89,"0,24","0,09",36,1,"0,07",71,,,,,"0,04",32,"-0,07",36,,87,1,26,"2,89","0,32",49,"3,10",77,"0,08",74,,,,,"0,01",56,"-0,09",35,"0,84","0,35",23,"13,50",73
3I-9186 DA EMBRAPA,193103,2012,,,,,,PS,23828,,1,62,"-0,02","0,59",23,"2,94","0,57",73,"0,20","0,14",36,9,"0,05",74,,,,,"-0,03",71,"0,19",99,,76,1,27,"2,54","0,37",53,"5,48",68,"0,05",80,,,,,"-0,05",78,"0,19",99,"0,09","0,42",76,"12,72",75
RABISCO CALABILU LAS RABISCO,183560,2010,,,,,,PS,24581,,1,160,"0,58","0,71",54,"5,13","0,69",45,"-3,19","0,31",93,78,"-0,01",91,,,,,"-0,02",67,"0,04",86,,68,1,18,"1,96","0,35",61,"7,10",56,"0,01",90,,,,,"-0,03",75,"0,02",84,"0,09","0,42",76,"12,43",75
MANINHO DA SANTA CAROLINA MANINHO,174935,2008,,,,,,PS,23891,,3,55,"0,08","0,49",26,"3,48","0,48",65,"-2,36","0,25",84,86,"0,05",74,,,,,"-0,05",84,"-0,07",36,,72,3,42,"0,17","0,32",86,"3,64",77,"0,07",75,,,,,"-0,06",87,"-0,07",41,"0,69","0,44",34,"12,00",75
ACARAJE DA ILMA ACARAJE,187876,2011,,,,,,PS,7510,,4,74,"0,99","0,58",73,"2,08","0,57",78,"-0,21","0,15",47,14,"0,00",86,"-0,12",99,"-0,02",85,"0,03",39,"0,01",83,,82,3,37,"3,21","0,37",39,"5,29",70,"-0,02",98,"-0,12",99,"-0,03",84,"0,04",35,"0,02",84,"0,21","0,42",62,"9,97",77
MADSON DA IPÊS MADSON,177115,2008,,,,,,PS,23846,,10,543,"-0,15","0,81",19,"4,73","0,80",52,"-3,31","0,37",94,111,"0,14",34,,,,,"0,06",26,"0,02",83,,46,8,190,"-1,84","0,60",99,"2,89",77,"0,01",89,,,,,"0,06",26,"0,04",86,"-0,20","0,68",88,"8,04",82
3K-9652 DA EMBRAPA,200825,2014,,,,,,PS,23828,,1,23,"-0,71","0,47",11,"-1,25","0,46",95,"0,93","0,08",25,5,"-0,00",88,,,,,"0,00",59,"0,04",84,,94,1,11,"3,43","0,30",37,"2,18",83,"0,04",83,,,,,"0,00",59,"0,01",80,"-0,11","0,38",81,"5,19",86
3K-9666 DA EMBRAPA,200866,2014,,,,,,PS,23828,,1,44,"1,32","0,54",90,"1,01","0,52",84,"2,19","0,10",10,6,"0,01",84,"-0,03",72,"-0,13",99,"-0,05",82,"-0,07",34,,87,1,25,"-0,13","0,35",90,"0,88",93,"-0,02",96,"-0,06",84,"-0,14",99,"-0,06",84,"-0,06",47,"0,42","0,47",46,"3,09",88
3I-9151 DA EMBRAPA,192938,2012,,,,,,PS,23828,,1,85,"-0,95","0,61",8,"-1,10","0,60",93,"0,60","0,14",32,20,"0,04",78,,,,,"-0,20",99,"0,01",82,,92,1,47,"2,11","0,41",59,"1,01",92,"0,09",68,,,,,"-0,23",99,"-0,04",60,"-1,00","0,47",99,"1,99",93
3M - 10140 DA EMBRAPA 3M - 10140,208824,2016,,,,,,PS,23828,,1,31,"0,40","0,48",42,"-1,49","0,47",98,"0,43","0,08",32,1,"0,01",82,"0,15",6,"0,09",9,"-0,08",88,"0,07",94,,94,1,22,"0,04","0,33",87,"-1,45",98,"0,03",84,"0,11",14,"0,08",19,"-0,11",93,"0,05",89,"0,10","0,43",74,"-0,42",93
NOTÁVEL DA MIRAGEM NOTÁVEL,94636,1998,,,,,,PS,23966,,1,71,"0,38","0,60",39,"-1,00","0,57",93,"1,31","0,16",16,18,"0,02",79,,,,,"-0,05",83,"-0,02",60,,92,1,11,"-0,14","0,28",92,"-1,14",96,"0,07",75,,,,,"-0,01",63,"-0,05",53,"-0,49","0,30",93,"-0,84",95
QUILATE 7133 DA SANTA CAROLINA,194868,2012,,,,,,PS,23891,,1,52,"0,85","0,58",67,"0,26","0,55",89,"-0,85","0,12",60,3,"-0,01",90,,,,,"-0,01",64,"0,15",99,,91,1,3,"0,83","0,25",74,"1,10",92,"-0,05",99,,,,,"0,01",56,"0,13",98,"-0,52","0,22",93,"-1,29",95
OBÍO DA IPÊS OBÍO,185273,2010,,,,,,PS,23846,,6,107,"1,45","0,67",93,"1,32","0,65",82,"1,81","0,19",12,18,"-0,22",99,,,,,"0,14",2,"-0,28",2,,99,4,19,"2,92","0,36",48,"4,24",74,"-0,17",99,,,,,"0,14",2,"-0,26",2,"-0,24","0,41",88,"-3,65",97
OCIDENTE 1 DA SANTA CAROLINA OCIDENTE 1,185365,2010,,,,,,PS,23891,,10,335,"0,22","0,77",32,"-0,83","0,76",91,"-1,07","0,21",62,29,"-0,03",98,"-0,01",65,"0,02",48,"-0,08",90,"-0,09",26,,95,6,162,"-0,58","0,56",95,"-1,40",96,"0,05",80,,,,,"-0,03",75,"-0,18",5,"-0,57","0,66",95,"-4,03",97
TEM QUE SER S.J. TEM QUE SER,205996,2015,,,,,,PS,24493,,1,30,"0,44","0,45",42,"-0,62","0,43",91,,,,,"-0,15",99,,,,,"0,10",6,"-0,14",14,,99,1,4,"-1,25","0,27",98,"-1,88",99,"-0,10",99,,,,,"0,10",6,"-0,14",14,"0,90","0,35",20,"-6,08",99
GATO LS GATO,117872,2001,,,,,,PS,24581,,21,326,"-0,04","0,78",23,"-1,69","0,77",99,"0,48","0,44",32,162,"-0,13",99,,,,,"-0,14",96,"0,10",96,,99,14,92,"-0,31","0,53",92,"-2,01",99,"-0,12",99,,,,,"-0,11",93,"0,09",96,"0,11","0,55",72,"-8,93",99
CATARO 158 MANGALBA EG,208640,2016,,,,,,PS,25871,,2,31,"1,26","0,48",89,"0,72","0,46",85,"-3,65","0,15",98,9,"-0,15",99,"-0,08",89,"-0,04",92,"-0,07",86,"0,06",92,,98,2,21,"-0,85","0,32",96,"-0,13",95,"-0,20",99,"-0,09",91,"-0,03",87,"-0,05",80,"0,07",93,"-0,16","0,39",85,"-9,91",99
NACO DA ITAMARATI NACO,186600,2010,,,,,,PS,24792,,1,51,"-0,46","0,55",15,"-4,21","0,52",99,"0,46","0,15",32,3,"-0,19",99,,,,,"-0,13",95,"-0,24",2,,99,1,3,"0,80","0,26",74,"-3,41",99,"-0,13",99,,,,,"-0,10",93,"-0,24",2,"0,25","0,25",60,"-12,59",99
PASSOS DA SANTA CAROLINA PASSOS,188704,2011,,,,,,PS,23891,,2,55,"0,22","0,55",30,"-2,74","0,51",99,"-2,06","0,13",82,4,"0,01",82,,,,,"-0,02",66,"-0,13",14,,99,2,28,"-4,87","0,35",99,"-7,61",99,"-0,01",95,,,,,"-0,04",77,"-0,10",30,"-0,64","0,39",99,"-15,37",99
PELORINHO DA SANTA CAROLINA PELORINHO,188218,2011,,,,,,PS,23891,,3,29,"-0,69","0,49",12,"-2,67","0,48",99,"-4,75","0,14",99,3,"-0,09",99,,,,,"-0,18",99,"-0,08",32,,99,3,28,"-5,36","0,36",99,"-8,03",99,"-0,10",99,,,,,"-0,13",95,"-0,09",33,"0,70","0,45",30,"-15,82",99
3G - 8695 DA EMBRAPA,184748,2010,,,,,,PS,23828,,1,88,"-0,68","0,61",12,"-1,14","0,60",93,"3,25","0,14",2,21,"-0,16",99,,,,,"-0,22",99,"0,07",92,,99,1,52,"-2,82","0,42",99,"-3,96",99,"-0,18",99,,,,,"-0,25",99,"0,06",92,"-0,54","0,44",93,"-17,95",99
