nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
EC NO DOUBT 2022 P,IA-368A,2004,M,,,,,IMP,,,7,166,"-0,04","0,64",46,"6,54","0,63",10,"-1,12","0,19",95,56,"0,17",8,"0,02",50,"-0,04",77,"0,23",6,"0,05",97,"25,96",8,4,112,"8,44","0,31",2,"14,98",4,"0,22",5,"0,03",47,"-0,11",89,"0,23",11,"0,05",97,"0,45","0,46",14,"38,09",2
SABRITOAPOLO SIDNEY DEZOITO APOLO,O112572,2011,M,,,,,PO,1546,Y,2,231,"0,69","0,58",83,"2,09","0,56",41,"-1,23","0,17",96,49,"0,3",2,"0,41",2,"0,36",2,"0,06",37,,,"18,81",21,2,225,"3,16","0,34",18,"5,26",30,"0,37",2,"0,33",2,"0,36",2,"0,06",36,,,"-0,51","0,47",95,"24,84",10
INDIANA,IA-222,1993,,,,,,A,,,5,131,"-0,05","0,57",45,"6,5","0,55",11,"2,34","0,26",6,116,"0,08",30,"0,2",8,"0,22",4,"0,01",49,"-0,01",27,"21,75",10,5,102,"4,92","0,25",8,"11,42",9,"0,08",30,"0,19",9,"0,23",8,,54,"-0,01",18,"-0,27","0,43",81,"22,36",14
BR JOTABÊ FLAMBEAU # FLAMBEAU,C225289,2010,M,,,,,PC,18756,,2,97,"-0,21","0,58",33,"4,21","0,57",27,"1,55","0,21",12,45,"0,19",6,"0,16",12,"0,28",3,"-0,01",56,"-0,01",,"19,77",16,2,57,"0,59","0,29",56,"4,81",35,"0,18",9,"0,16",11,"0,3",3,"-0,06",72,,,"0,7","0,45",4,"20,08",16
ÔMEGA,IA-135,1978,,,,,,A,,,4,71,"-1,34","0,49",2,,"0,51",20,"-0,52","0,12",79,31,"0,13",18,"0,07",40,"0,15",16,"0,1",29,"-0,05",3,"19,41",17,4,42,"2,27","0,19",27,"7,27",23,"0,12",20,"0,06",37,"0,15",17,"0,1",27,"-0,05",2,,,,"19,18",18
LT BRIDGER 9191 POLLED BRIDGER,IA-412,2009,,,,,,A,,G,3,38,"0,74","0,45",86,"3,64","0,43",33,"-0,42","0,01",75,2,"-0,01",62,"0,1",23,"0,04",42,"0,2",14,"-0,02",16,"9,62",39,1,26,"5,71","0,22",5,"9,35",14,"0,03",45,"0,07",30,"0,05",40,"0,24",9,,,"0,49","0,31",11,"18,62",21
EXCLUSIF,IA-212,1989,,,,,,A,,,5,60,"0,68","0,54",81,"5,25","0,53",16,"0,44","0,15",34,29,"0,09",28,"-0,01",58,"0,1",27,"0,21",9,,78,"18,62",22,3,22,"0,61","0,17",54,"5,86",27,"0,11",23,"-0,04",70,"0,07",35,"0,28",6,,74,"-0,38","0,33",91,"13,03",31
SABRITO BISPO MALICIEUX JACQUARD,O114363,2012,,,,,,D,1546,PO,1,34,"-1,05","0,39",8,"1,56","0,37",45,"0,48","0,04",33,3,"0,12",21,"0,09",29,"0,12",21,"-0,13",85,,,"9,13",40,1,33,"2,02","0,2",30,"3,58",41,"0,16",10,"0,11",21,"0,13",20,"-0,13",85,,,"-0,16","0,28",79,"12,67",33
EC FOREFRONT 8066,IA-410,2012,M,,,,,IMP,,,2,26,"0,64","0,36",80,"4,57","0,33",24,"-0,77","0,02",91,3,"0,04",45,"0,13",15,"0,09",29,"0,18",18,"0,04",96,"14,32",30,2,16,"0,83","0,14",49,"5,41",29,"0,01",53,"0,05",39,"0,1",24,"0,17",17,"0,04",96,"0,17","0,21",37,"10,53",34
IOTA,IA-236,1993,,,,,,A,,,2,26,"1,03","0,41",96,"5,47","0,39",15,"0,78","0,13",24,37,"-0,08",83,"-0,04",74,"-0,03",70,"-0,09",80,,43,"11,55",34,2,11,"3,32","0,12",15,"8,79",15,"-0,11",89,"-0,04",71,"-0,02",67,"-0,08",79,"0,01",79,"0,21","0,12",31,"10,19",35
