nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
PAMPIANO 38-3666 SEPE,36500,1996,,,,,,CCG,21110,,5,1463,"0,11","0,80",49,"1,59","0,87",50,"-0,63","0,46",97,209,"0,13",27,"0,12",32,"0,14",30,"0,09",28,"-0,07",16,,38,5,871,"-1,52","0,77",76,"0,08",64,"0,08",40,"0,03",56,"0,08",43,"0,02",56,"-0,06",20,"0,11","0,44",50,"3,85",54
SANTA TEREZA O3736,370498,2019,,,,,,CCG,2432,,1,22,"-0,52","0,44",23,"1,45","0,43",50,,,,,"0,14",26,"0,22",20,"0,14",31,"0,05",44,"-0,01",54,,38,1,22,"-0,93","0,33",68,"0,52",61,"0,10",32,"0,15",25,"0,06",48,"0,04",48,"-0,00",60,"-0,36","0,45",82,"3,73",55
BELVISTA 38-1004 DON JUAN DON JUAN,133939,2007,,,,,,CCG,16110,,5,126,"0,55","0,64",69,"1,49","0,67",50,"0,30","0,16",12,127,"0,19",18,"0,23",19,"0,21",17,"0,11",26,"-0,04",37,,31,5,101,"-3,70","0,53",89,"-2,21",72,"0,14",27,"0,14",30,"0,11",38,"0,07",39,"0,00",61,"0,18","0,44",47,"3,28",57
NOVA AURORA ANJO DA GUARDA 38-11972,244007,2011,,,,,,CCG,16081,,1,244,"0,94","0,48",85,"-0,77","0,67",70,"2,11","0,11",2,30,"0,03",50,"-0,08",84,"0,04",53,"-0,03",63,"-0,05",31,,66,1,197,"-0,48","0,55",63,"-1,25",69,"0,04",50,"-0,08",86,"0,01",61,"-0,03",64,"-0,05",25,"1,21","0,59",8,"3,05",57
NOVA AURORA ANJO DA GUARDA 38-11444,187779,2012,,,,,,CCG,16081,,1,45,"-0,10","0,23",39,"3,50","0,43",30,"-0,08","0,00",57,4,"-0,07",81,"0,12",32,"-0,01",66,"-0,11",82,"-0,00",58,,45,1,40,"0,12","0,31",58,"3,62",41,"-0,08",83,"0,05",50,"-0,05",77,"-0,13",83,"-0,01",57,"0,33","0,33",34,"1,87",61
CAMILA 38-R22 RUMO,287364,2015,,,,,,CCG,8298,R,1,24,"-1,24","0,48",6,"1,73","0,49",46,"0,63","0,03",9,37,"-0,04",77,"-0,12",89,"0,02",56,"0,12",25,"-0,06",24,,59,1,13,"1,09","0,34",44,"2,82",48,"-0,00",61,"-0,09",87,"0,03",57,"0,14",22,"-0,05",23,"-0,20","0,44",76,"1,48",61
ANJO DA GUARDA 38-14510,309123,2015,,,,,,PS,16081,,1,74,,,,"3,74","0,52",27,"0,45","0,05",10,1,"-0,03",74,"0,03",53,"0,06",46,"0,06",42,"-0,04",32,,42,1,66,"-1,81","0,41",79,"1,93",53,"-0,03",76,"0,01",62,"0,06",47,"0,06",43,"-0,05",28,"0,22","0,39",42,"0,66",62
SÃO MIGUEL 38-TEC47 ANAMÃ,188018,2012,,,,,,CCG,19471,,2,108,,,,"2,55","0,59",37,"2,66","0,10",1,3,"-0,01",69,"0,04",51,"0,01",63,"0,04",47,"-0,14",3,,47,2,71,"-1,78","0,45",79,"0,78",60,"-0,01",63,"0,01",64,"-0,09",87,"0,01",56,"-0,15",3,"0,33","0,37",34,"0,51",62
CAMILA 38-S65 SENHOR SENHOR,310521,2016,,,,,,CCG,8298,P,3,222,"0,45","0,69",66,"3,34","0,70",30,"0,28","0,01",12,31,"0,04",45,"0,10",34,"0,15",29,"0,17",16,"-0,03",44,,34,3,151,"-1,35","0,56",74,"1,99",53,"-0,03",75,"0,11",36,"0,18",25,"0,10",31,"-0,00",59,"-0,45","0,65",85,"0,45",63
CATY 14-M167,232143,2012,,,,,,CCG,2344,,1,51,"0,70","0,53",76,"5,70","0,54",19,"0,02","0,01",23,5,"-0,01",69,"0,20",21,"0,10",37,"0,17",17,"0,01",66,,27,1,46,"-3,92","0,41",90,"1,78",53,"-0,07",82,"0,08",44,"0,05",50,"0,11",30,"-0,01",55,"-0,19","0,54",76,"-1,64",67
NOVA AURORA ANJO DA GUARDA 38-12970,256215,2014,,,,,,CCG,19348,,1,24,"0,70","0,38",76,"-2,10","0,39",79,,,,,"0,02",53,"0,00",64,"0,02",57,"0,02",53,"-0,04",36,,74,1,19,"0,57","0,29",50,"-1,53",70,"0,04",51,"0,01",63,"0,00",63,"0,02",55,"-0,07",16,"-0,16","0,26",72,"-1,92",67
CIA AZUL 34-1012 LALUK,75109,2001,,,,,,CCG,23805,,1,26,"-0,05","-0,00",41,"-0,42","0,00",67,,,,,"-0,01",69,"-0,01",67,"-0,01",68,"-0,01",60,"-0,00",62,,68,1,25,"-0,17","0,00",60,"-0,59",68,"-0,01",69,"-0,00",66,"-0,01",66,"-0,01",61,"-0,00",61,"-0,02","-0,00",60,"-2,19",68
