nome;codigo;nome 2;REG. #;BORN;FRAME (yrl);BW (lbs);WW (lbs);YW (lbs);SCROTAL (cm yrl);CE EPD;CE ACC;CE RANK %;BW EPD;BW ACC;BW RANK %;WW EPD;WW ACC;WW RANK %;YW EPD;YW ACC;YW RANK %;RADG EPD;RADG ACC;RADG RANK %;YH EPD;YH ACC;YH RANK %;SC EPD;SC ACC;SC RANK %;DOC EPD;DOC ACC;DOC RANK %;HP;;;CEM;;;MILK;;;MW;;;MH;;;$EN;;;CW;;;MARB;;;ACT MARB;;;REA;;;ACT REA;;;FAT;;;ACT FAT;;; $W;;;$F;;;$G;;;$QG;;;$YG;;;$B;;
RENOVATION;0200AN10734;S A V RENOVATION 6822;18579309;28/01/2016;5.9;76;905;1625;39.0;I+3;0.05;75;2.1;0.60;70;60;0.25;25;103;0.24;30;I+.15;0.05;80;I+.4;0.05;50;1.01;0.37;35;22;0.35;25;I+9.0;0.05;75;I+3;0.05;95;22;0.21;65;I+44;0.05;30;I+.3;0.05;50;-9.46;-;60;39;0.25;45;0.32;0.21;75;4.23;-;-;0.29;0.25;85;14.8;-;-;0.076;0.20;95;0.77;-;-;50.91;-;40;54.14;-;45;18.21;-;95;22.8;-;75;-4.59;-;95;103.24;-;70
COLOSSAL;0200AN10737;MUSGRAVE 316 COLOSSAL 137;18774441;04/01/2017;5.6;70;878;1376;40.0;16;0.38;1;-1.1;0.54;10;63;0.47;20;112;0.43;15;0.21;0.23;45;-0.5;0.39;95;0.19;0.48;85;22;0.34;25;14.9;0.19;10;17;0.29;1;26;0.30;30;17;0.29;70;-0.2;0.35;95;-10.04;-;65;38;0.40;50;0.68;0.35;30;;-;-;0.59;0.35;35;;-;-;0.03;0.31;80;;-;-;70.18;-;5;78.58;-;15;40.82;-;30;37.37;-;30;3.45;-;65;136.53;-;30
MAVERICK;0200AN10731;POSS MAVERICK;18962396;05/02/2017;5.8;76;818;1591;38.5;-1;0.37;95;2.6;0.53;80;77;0.47;2;142;0.42;1;0.33;0.27;3;0.4;0.48;50;1.82;0.48;4;27;0.34;10;6.5;0.23;95;2;0.31;95;34;0.32;3;76;0.32;4;0.8;0.36;10;-37.67;-;95;76;0.42;1;1.48;0.38;1;6.69;-;-;0.72;0.38;20;15;-;-;0.005;0.35;45;0.32;-;-;74.02;-;3;124.48;-;1;57.85;-;1;56.44;-;1;1.41;-;85;215.54;-;1
EASY DECISION;0200AN10716;BUSHS EASY DECISION 98;17649083;07/02/2013;6.8;93;912;1616;39.8;5;0.59;65;2.9;0.91;85;84;0.88;1;147;0.82;1;0.38;0.23;1;0.8;0.54;10;0.76;0.70;50;29;0.46;4;8.2;0.20;80;13;0.42;10;19;0.41;80;81;0.31;2;0.6;0.35;20;-22.95;-;95;63;0.50;3;0.62;0.43;30;4.16;-;-;0.68;0.45;20;14;-;-;0.008;0.43;45;0.5;-;-;63.97;-;15;137.52;-;1;38.02;-;35;35.35;-;30;2.67;-;70;190.72;-;1
ATTRACTIVE;0200AN10728;SCHIEFELBEIN ATTRACTIVE 4565;18272797;20/03/2015;6.2;85;860;1484;37.0;3;0.49;75;2.2;0.79;70;77;0.65;2;135;0.53;2;0.22;0.28;40;0.6;0.43;30;0.91;0.55;40;27;0.45;10;12.5;0.26;20;10;0.35;35;34;0.36;4;60;0.36;10;0.6;0.40;20;-34.37;-;95;44;0.48;30;0.53;0.42;40;4.77;-;-;0.44;0.42;55;15.8;-;-;-0.002;0.41;30;0.47;-;-;78.67;-;2;98.92;-;5;35.98;-;40;32.12;-;40;3.86;-;55;136.47;-;30
SILVER STAR;0200AN10730;NORTH CAMP SILVER STAR 5103;18162044;02/02/2015;--;84;810;1285;36.0;10;0.38;25;0.5;0.67;35;51;0.57;55;99;0.45;40;0.21;0.25;45;0.5;0.38;40;0.89;0.41;40;28;0.33;5;13.3;0.21;15;14;0.30;4;21;0.32;70;65;0.30;10;0.7;0.35;10;-6.76;-;55;37;0.41;45;0.63;0.34;30;;-;-;0.69;0.35;20;;-;-;0.023;0.31;70;;-;-;41.02;-;70;59.3;-;40;40.77;-;25;35.72;-;30;5.05;-;40;127.79;-;40
GEDDES;0200AN10735;VARILEK GEDDES 7068;18886461;12/01/2017;6.0;86;850;1413;38.0;10;0.35;20;1;0.54;40;76;0.47;2;132;0.43;3;0.24;0.26;30;0.4;0.38;50;0.83;0.40;45;30;0.34;3;16.3;0.23;2;12;0.29;15;33;0.32;4;57;0.31;15;0.4;0.36;35;-31.08;-;95;61;0.42;4;0.95;0.38;10;5.24;-;-;0.73;0.38;20;16.8;-;-;0.037;0.36;85;0.39;-;-;81.4;-;1;105.94;-;2;45.68;-;15;44.81;-;10;0.87;-;90;182.96;-;2
TOP SHELF;0200AN10828;ELLINGSON TOP SHELF 5050;18181431;23/02/2015;6.5;80;811;1557;41.8;14;0.57;4;0.1;0.84;25;61;0.79;25;116;0.66;15;0.37;0.22;1;0.4;0.41;50;1.2;0.65;20;24;0.58;15;3.8;0.27;95;15;0.29;2;18;0.32;85;50;0.28;20;0.2;0.33;60;-7.29;-;60;47;0.47;25;0.44;0.40;55;2.93;-;-;0.72;0.41;15;19.5;-;-;-0.007;0.40;25;0.41;-;-;49.5;-;45;96.75;-;10;34.69;-;45;28.37;-;55;6.32;-;25;157.85;-;10
NEXT UP;179AN140;BCII MLA NEXT UP 015;18287699;14/03/2015;6.0;76;676;;38.0;9;0.37;30;-0.7;0.66;15;31;0.56;95;46;0.41;95;0.16;0.18;75;-0.4;0.34;95;-0.09;0.37;95;3;0.30;90;5.1;0.14;95;9;0.26;45;27;0.28;30;3;0.27;85;0.2;0.31;60;7.5;-;20;-6;0.38;95;0.59;0.32;35;;-;-;0.22;0.33;85;;-;-;0.023;0.29;70;;-;-;39.53;-;75;3.99;-;95;40.79;-;25;34.27;-;35;6.52;-;25;47;-;95
PRIMO;100AN6587;COLBURN PRIMO 5153;18217480;03/01/2015;--;80;769;1539;--;6;0.42;55;3.8;0.86;95;55;0.78;40;92;0.58;50;0.21;0.22;45;0.3;0.48;65;-0.53;0.45;95;5;0.46;85;10.6;0.17;45;11;0.30;25;6;0.32;95;103;0.31;1;1.2;0.35;1;9.71;-;15;16;0.44;90;0.23;0.37;85;;-;-;0.33;0.38;70;;-;-;0.028;0.35;75;;-;-;18.25;-;95;54.7;-;45;22.52;-;80;18.3;-;85;4.22;-;50;72.99;-;90
