nome_touro,nome_touro_alta,codigo_touro,raca,data_preco,preco_ajustado_reais,data_prova,fonte_prova_url,TPI,NM$,CM$,Leite,Proteína,Proteína%,Gordura,Gordura%,CGP,Pconf,PTAT,JUI,FLC,Tconf,PL,DPR,SCS,SCE,DCE,NMT,DSB,CCR,HCR,aAa,DMS
BUSTOP 2.731 -291 92 1 4 1 100 A2A2 SUPERSIRE DORCY,BUSTOP,200HO10189,HOLANDÊS PRETO E BRANCO,2021-04-01,30.58,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10189,2308,259,291,-570,0,0.06,31,0.19,31,99,0.6,1.39,0.65,94,2.0,0.4,2.76,2.7,2.2,5.6,4.9,1.4,-0.7,,
HIGH OCTANE 2.130 996 99 2.39 2.06 0.26 2.7% SHOWTIME / IMMUNITY+ MCCUTCHEN OBSERVER,HIGH OCTANE,200HO10363,LEITE IMPORTADO,2021-04-01,109.7,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10363,2132,-20,-43,985,13,-0.06,10,-0.1,23,99,2.42,2.06,0.06,98,-1.4,-1.8,2.85,3.0,2.6,8.4,7.8,-2.2,-1.2,,
ORION 2.572 1.410 99 2.07 2.12 0.18 1.9% SHOWTIME / IMMUNITY+ KINGBOY MOGUL,ORION,200HO10457,LEITE IMPORTADO,2021-04-01,87.76,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10457,2584,407,391,1408,30,-0.05,51,-0.01,81,99,2.07,2.15,0.03,98,2.5,-0.1,2.83,2.0,2.7,6.0,5.6,1.4,1.9,,
COPIOUS 2.611 2.029 98 1.58 1.17 0.32 1.9% FERTILITY BOMBERO MORGAN,COPIOUS,200HO10573,HOLANDÊS PRETO E BRANCO,2021-04-01,71.8,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10573,2582,465,449,2049,50,-0.05,40,-0.13,90,99,1.51,1.12,0.18,90,3.7,-0.2,2.94,2.0,1.7,7.8,5.2,0.2,0.4,,
DARE 2.538 728 92 1.19 1.13 1.05 1.9% ROBOTREADY SILVER DAY,DARE,200HO10653,HOLANDÊS PRETO E BRANCO,2021-04-01,47.87,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10653,2537,452,467,752,29,0.02,63,0.12,92,92,1.24,1.19,1.04,88,2.6,-1.8,2.76,2.1,2.3,6.5,6.2,-1.5,-0.1,,
LAUDERDALE 2.494 406 90 0.73 1.07 0.32 2.0% GENOMAX / A2A2 / ROBOTREADY DRAFTPICK BOMBERO,LAUDERDALE,200HO10814,LEITE IMPORTADO,2021-04-01,30.58,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10814,2484,409,445,333,29,0.07,44,0.11,73,91,0.67,0.97,0.24,88,3.1,0.1,2.77,2.2,2.3,6.6,6.0,1.2,1.3,,
TRAMWAY 2.516 240 84 0.51 0.75 1.01 1.7% GENOMAX / A2A2 MODESTY LOTTOMAX,TRAMWAY,200HO10822,LEITE IMPORTADO,2021-04-01,29.25,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10822,2419,394,432,-118,21,0.09,34,0.14,55,92,0.57,0.82,1.17,79,3.6,1.7,3.06,1.9,3.0,5.3,6.1,2.0,0.6,,
KIPPER 2.666 1.105 93 7 9 3 93 SHOWTIME / IMMUNITY+ HIGH OCTANE 5G,KIPPER,200HO10827,LEITE IMPORTADO,2021-04-01,42.55,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10827,2080,-60,-68,648,15,-0.02,7,-0.06,22,92,2.59,1.92,-0.16,86,-2.1,-2.2,3.04,3.2,2.9,7.7,6.8,-3.1,-2.1,,
CAYDEN 2.563 349 91 1.11 1.10 1.11 1.9% ROBOTREADY AFTERBURNER COMMANDER,CAYDEN,200HO10831,HOLANDÊS PRETO E BRANCO,2021-04-01,47.87,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10831,2570,405,469,146,40,0.13,38,0.11,78,92,1.28,1.34,1.32,88,1.8,0.2,2.7,2.1,2.3,5.8,5.5,-0.2,1.2,,
TOPNOTCH 2.655 1.047 92 1.22 1.70 0.00 1.9% GENOMAX / SEMEXX JEDI LOTTOMAX,TOPNOTCH,200HO10864,LEITE IMPORTADO,2021-04-01,87.76,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10864,2581,471,500,846,41,0.05,31,-0.01,72,93,1.11,1.56,-0.03,92,5.1,1.4,2.81,2.1,2.4,6.8,5.6,4.0,-1.7,,
